property_id,address,latitude,longitude
BRZ-00001,"NSI Structure 122567308, Fort Bend County, TX",29.550384,-95.695556
BRZ-00002,"NSI Structure 122617575, Fort Bend County, TX",29.589318,-95.767304
BRZ-00003,"NSI Structure 122668970, Fort Bend County, TX",29.638053,-95.625346
BRZ-00004,"NSI Structure 122448087, Fort Bend County, TX",29.682292,-95.650534
BRZ-00005,"NSI Structure 122522767, Fort Bend County, TX",29.678855,-95.667326
BRZ-00006,"NSI Structure 122565618, Fort Bend County, TX",29.664566,-95.650166
BRZ-00007,"NSI Structure 122499956, Fort Bend County, TX",29.699975,-95.843273
BRZ-00008,"NSI Structure 124736356, Harris County, TX",29.708518,-95.612862
BRZ-00009,"NSI Structure 122622882, Fort Bend County, TX",29.52342,-95.728548
BRZ-00010,"NSI Structure 122622972, Fort Bend County, TX",29.518763,-95.720926
BRZ-00011,"NSI Structure 122554521, Fort Bend County, TX",29.631697,-95.735516
BRZ-00012,"NSI Structure 122538217, Fort Bend County, TX",29.613412,-95.78193
BRZ-00013,"NSI Structure 122455653, Fort Bend County, TX",29.690584,-95.677852
BRZ-00014,"NSI Structure 122514317, Fort Bend County, TX",29.679798,-95.89879
BRZ-00015,"NSI Structure 122523560, Fort Bend County, TX",29.679375,-95.672556
BRZ-00016,"NSI Structure 122682576, Fort Bend County, TX",29.643206,-95.619877
BRZ-00017,"NSI Structure 122603449, Fort Bend County, TX",29.696538,-95.781143
BRZ-00018,"NSI Structure 122602691, Fort Bend County, TX",29.672512,-95.726612
BRZ-00019,"NSI Structure 122458765, Fort Bend County, TX",29.646182,-95.697822
BRZ-00020,"NSI Structure 122550369, Fort Bend County, TX",29.592542,-95.666569
BRZ-00021,"NSI Structure 122469568, Fort Bend County, TX",29.667883,-95.724142
BRZ-00022,"NSI Structure 122572845, Fort Bend County, TX",29.715844,-95.821534
BRZ-00023,"NSI Structure 124170839, Harris County, TX",29.684761,-95.620809
BRZ-00024,"NSI Structure 122596744, Fort Bend County, TX",29.653503,-95.656786
BRZ-00025,"NSI Structure 122607769, Fort Bend County, TX",29.558955,-95.734834
BRZ-00026,"NSI Structure 122459828, Fort Bend County, TX",29.687973,-95.69195
BRZ-00027,"NSI Structure 122492653, Fort Bend County, TX",29.716176,-95.809195
BRZ-00028,"NSI Structure 122463371, Fort Bend County, TX",29.550749,-95.727893
BRZ-00029,"NSI Structure 123427524, Harris County, TX",29.691559,-95.647787
BRZ-00030,"NSI Structure 122554856, Fort Bend County, TX",29.537423,-95.737977
BRZ-00031,"NSI Structure 122590605, Fort Bend County, TX",29.55167,-95.780242
BRZ-00032,"NSI Structure 122583942, Fort Bend County, TX",29.656235,-95.703441
BRZ-00033,"NSI Structure 122488634, Fort Bend County, TX",29.618357,-95.797346
BRZ-00034,"NSI Structure 122629469, Fort Bend County, TX",29.519796,-95.82745
BRZ-00035,"NSI Structure 122681630, Fort Bend County, TX",29.537893,-95.610433
BRZ-00036,"NSI Structure 122478431, Fort Bend County, TX",29.649351,-95.745233
BRZ-00037,"NSI Structure 122530155, Fort Bend County, TX",29.663594,-95.732478
BRZ-00038,"NSI Structure 122599484, Fort Bend County, TX",29.65825,-95.637232
BRZ-00039,"NSI Structure 122682849, Fort Bend County, TX",29.647285,-95.620154
BRZ-00040,"NSI Structure 123499696, Harris County, TX",29.705289,-95.660954
BRZ-00041,"NSI Structure 122481803, Fort Bend County, TX",29.645273,-95.765233
BRZ-00042,"NSI Structure 122460227, Fort Bend County, TX",29.705986,-95.689679
BRZ-00043,"NSI Structure 122617883, Fort Bend County, TX",29.708967,-95.840798
BRZ-00044,"NSI Structure 122567673, Fort Bend County, TX",29.68924,-95.693986
BRZ-00045,"NSI Structure 123497383, Harris County, TX",29.682669,-95.632014
BRZ-00046,"NSI Structure 122584215, Fort Bend County, TX",29.56898,-95.715345
BRZ-00047,"NSI Structure 122552581, Fort Bend County, TX",29.542823,-95.692086
BRZ-00048,"NSI Structure 122616628, Fort Bend County, TX",29.584042,-95.625518
BRZ-00049,"NSI Structure 122482544, Fort Bend County, TX",29.549548,-95.76713
BRZ-00050,"NSI Structure 122529947, Fort Bend County, TX",29.672399,-95.732842
BRZ-00051,"NSI Structure 122473782, Fort Bend County, TX",29.563477,-95.7375
BRZ-00052,"NSI Structure 123895010, Harris County, TX",29.68155,-95.619622
BRZ-00053,"NSI Structure 122528458, Fort Bend County, TX",29.703489,-95.721684
BRZ-00054,"NSI Structure 122447538, Fort Bend County, TX",29.672163,-95.652445
BRZ-00055,"NSI Structure 122618021, Fort Bend County, TX",29.592993,-95.695172
BRZ-00056,"NSI Structure 122466129, Fort Bend County, TX",29.563637,-95.711177
BRZ-00057,"NSI Structure 123894921, Harris County, TX",29.682867,-95.618253
BRZ-00058,"NSI Structure 123428770, Harris County, TX",29.706012,-95.65507
BRZ-00059,"NSI Structure 122518886, Fort Bend County, TX",29.634543,-95.629146
BRZ-00060,"NSI Structure 122574625, Fort Bend County, TX",29.561799,-95.624154
BRZ-00061,"NSI Structure 122565793, Fort Bend County, TX",29.687474,-95.660903
BRZ-00062,"NSI Structure 124365117, Harris County, TX",29.701015,-95.615861
BRZ-00063,"NSI Structure 122553980, Fort Bend County, TX",29.648092,-95.728516
BRZ-00064,"NSI Structure 122567531, Fort Bend County, TX",29.689192,-95.693228
BRZ-00065,"NSI Structure 122681094, Fort Bend County, TX",29.59454,-95.607027
BRZ-00066,"NSI Structure 122475405, Fort Bend County, TX",29.684948,-95.740203
BRZ-00067,"NSI Structure 122617166, Fort Bend County, TX",29.702479,-95.722645
BRZ-00068,"NSI Structure 122610720, Fort Bend County, TX",29.525987,-95.638752
BRZ-00069,"NSI Structure 122456507, Fort Bend County, TX",29.671573,-95.685953
BRZ-00070,"NSI Structure 122612228, Fort Bend County, TX",29.653925,-95.684137
BRZ-00071,"NSI Structure 122619445, Fort Bend County, TX",29.709995,-95.81693
BRZ-00072,"NSI Structure 122600450, Fort Bend County, TX",29.670687,-95.73558
BRZ-00073,"NSI Structure 122470109, Fort Bend County, TX",29.659969,-95.731948
BRZ-00074,"NSI Structure 122564210, Fort Bend County, TX",29.551457,-95.631313
BRZ-00075,"NSI Structure 122579509, Fort Bend County, TX",29.703553,-95.780064
BRZ-00076,"NSI Structure 122595123, Fort Bend County, TX",29.685308,-95.783394
BRZ-00077,"NSI Structure 122540082, Fort Bend County, TX",29.700302,-95.802702
BRZ-00078,"NSI Structure 122555593, Fort Bend County, TX",29.71627,-95.749141
BRZ-00079,"NSI Structure 122589691, Fort Bend County, TX",29.614328,-95.737139
BRZ-00080,"NSI Structure 123480963, Harris County, TX",29.698935,-95.632813
BRZ-00081,"NSI Structure 122589632, Fort Bend County, TX",29.555955,-95.737593
BRZ-00082,"NSI Structure 122453610, Fort Bend County, TX",29.630784,-95.676105
BRZ-00083,"NSI Structure 122681169, Fort Bend County, TX",29.650998,-95.605564
BRZ-00084,"NSI Structure 122454999, Fort Bend County, TX",29.660311,-95.659887
BRZ-00085,"NSI Structure 122456997, Fort Bend County, TX",29.653099,-95.683964
BRZ-00086,"NSI Structure 122630560, Fort Bend County, TX",29.513851,-95.790393
BRZ-00087,"NSI Structure 122575665, Fort Bend County, TX",29.69258,-95.663178
BRZ-00088,"NSI Structure 122477066, Fort Bend County, TX",29.672769,-95.746507
BRZ-00089,"NSI Structure 123895544, Harris County, TX",29.679972,-95.620241
BRZ-00090,"NSI Structure 122485791, Fort Bend County, TX",29.570176,-95.785383
BRZ-00091,"NSI Structure 123318340, Harris County, TX",29.684358,-95.629068
BRZ-00092,"NSI Structure 122478072, Fort Bend County, TX",29.689824,-95.749257
BRZ-00093,"NSI Structure 123895325, Harris County, TX",29.718339,-95.620496
BRZ-00094,"NSI Structure 122613749, Fort Bend County, TX",29.558386,-95.633824
BRZ-00095,"NSI Structure 122624825, Fort Bend County, TX",29.529057,-95.732748
BRZ-00096,"NSI Structure 122699735, Fort Bend County, TX",29.600631,-95.603287
BRZ-00097,"NSI Structure 122445516, Fort Bend County, TX",29.647066,-95.632285
BRZ-00098,"NSI Structure 122565575, Fort Bend County, TX",29.595281,-95.648183
BRZ-00099,"NSI Structure 123517028, Harris County, TX",29.679752,-95.631564
BRZ-00100,"NSI Structure 122567094, Fort Bend County, TX",29.702103,-95.693183
BRZ-00101,"NSI Structure 123425566, Harris County, TX",29.708291,-95.63969
BRZ-00102,"NSI Structure 122509462, Fort Bend County, TX",29.702605,-95.882002
BRZ-00103,"NSI Structure 122446502, Fort Bend County, TX",29.599068,-95.641689
BRZ-00104,"NSI Structure 122569854, Fort Bend County, TX",29.672036,-95.743038
BRZ-00105,"NSI Structure 123430237, Harris County, TX",29.711023,-95.666076
BRZ-00106,"NSI Structure 122588771, Fort Bend County, TX",29.637393,-95.675813
BRZ-00107,"NSI Structure 122478868, Fort Bend County, TX",29.621573,-95.750298
BRZ-00108,"NSI Structure 122547579, Fort Bend County, TX",29.642265,-95.626238
BRZ-00109,"NSI Structure 123427433, Harris County, TX",29.692405,-95.651195
BRZ-00110,"NSI Structure 122578723, Fort Bend County, TX",29.688277,-95.746062
BRZ-00111,"NSI Structure 122644948, Fort Bend County, TX",29.505369,-95.813981
BRZ-00112,"NSI Structure 122467668, Fort Bend County, TX",29.628984,-95.719154
BRZ-00113,"NSI Structure 122474163, Fort Bend County, TX",29.601091,-95.73902
BRZ-00114,"NSI Structure 122457737, Fort Bend County, TX",29.625622,-95.68433
BRZ-00115,"NSI Structure 122539099, Fort Bend County, TX",29.701622,-95.791515
BRZ-00116,"NSI Structure 122471478, Fort Bend County, TX",29.650511,-95.732322
BRZ-00117,"NSI Structure 122550987, Fort Bend County, TX",29.618376,-95.676884
BRZ-00118,"NSI Structure 122580736, Fort Bend County, TX",29.699843,-95.833393
BRZ-00119,"NSI Structure 122484293, Fort Bend County, TX",29.55108,-95.78057
BRZ-00120,"NSI Structure 122690321, Fort Bend County, TX",29.587225,-95.6127
BRZ-00121,"NSI Structure 122450825, Fort Bend County, TX",29.556129,-95.65972
BRZ-00122,"NSI Structure 122474513, Fort Bend County, TX",29.693998,-95.736903
BRZ-00123,"NSI Structure 122489542, Fort Bend County, TX",29.718557,-95.798071
BRZ-00124,"NSI Structure 122608622, Fort Bend County, TX",29.555501,-95.696184
BRZ-00125,"NSI Structure 122587340, Fort Bend County, TX",29.539035,-95.860683
BRZ-00126,"NSI Structure 122591473, Fort Bend County, TX",29.687664,-95.817537
BRZ-00127,"NSI Structure 122554528, Fort Bend County, TX",29.631344,-95.734802
BRZ-00128,"NSI Structure 122690320, Fort Bend County, TX",29.586812,-95.612793
BRZ-00129,"NSI Structure 122461114, Fort Bend County, TX",29.591223,-95.694247
BRZ-00130,"NSI Structure 122451143, Fort Bend County, TX",29.577146,-95.663963
BRZ-00131,"NSI Structure 122612393, Fort Bend County, TX",29.641021,-95.743346
BRZ-00132,"NSI Structure 122484139, Fort Bend County, TX",29.710899,-95.773128
BRZ-00133,"NSI Structure 122639448, Fort Bend County, TX",29.529969,-95.763561
BRZ-00134,"NSI Structure 122567886, Fort Bend County, TX",29.579258,-95.695595
BRZ-00135,"NSI Structure 122627686, Fort Bend County, TX",29.526568,-95.758398
BRZ-00136,"NSI Structure 122593855, Fort Bend County, TX",29.666755,-95.689988
BRZ-00137,"NSI Structure 122588958, Fort Bend County, TX",29.550623,-95.688384
BRZ-00138,"NSI Structure 122490189, Fort Bend County, TX",29.548699,-95.804699
BRZ-00139,"NSI Structure 122596926, Fort Bend County, TX",29.55668,-95.663348
BRZ-00140,"NSI Structure 122574587, Fort Bend County, TX",29.562828,-95.627218
