property_id,address,latitude,longitude,pct_flooded,max_depth_ft,urban_flag,optical_available,optical_water_pct,wse_spread_ft,rel_elev_ft,hand_ft,water_fraction,dpol_water,dpol_available,dem_resolution_m,found_ht,found_type,num_story,occtype,val_struct,val_cont,ftprntsqft,med_yr_blt,nsi_match_m,nsi_matched,first_floor_height_ft,foundation_type,depth_above_ffe_ft,first_floor_source,depth_lower_ft,depth_upper_ft,depth_ci_ft
BRZ-00001,"NSI Structure 122567308, Fort Bend County, TX",29.550384,-95.695556,0.0,0.0,0,1,0.0,0.0,16.511,8.56,0.0,0.0,1,1,0.75,S,1.0,RES1-1SNB,346539.9007208071,173269.95036040354,2378.0,1989.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00002,"NSI Structure 122617575, Fort Bend County, TX",29.589318,-95.767304,0.0,0.0,0,1,0.0,0.0,12.391,11.38,0.0,0.0,1,1,5.25,P,1.0,RES1-1SNB,126567.59955000001,63283.79977500001,1731.0,1979.0,0.0,True,5.25,Pier,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00003,"NSI Structure 122668970, Fort Bend County, TX",29.638053,-95.625346,0.0,0.0,1,1,0.0,0.0,3.008,7.7,0.0,0.0,1,1,0.75,S,1.0,RES1-1SNB,270227.36142000003,135113.68071000002,1885.0,1976.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00004,"NSI Structure 122448087, Fort Bend County, TX",29.682292,-95.650534,0.0,0.0,1,1,0.0,0.0,3.343,1.9,0.0,0.0,1,1,0.75,S,1.0,RES1-1SNB,219520.52773616352,109760.26386808176,2116.0,1986.0,0.1,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00005,"NSI Structure 122522767, Fort Bend County, TX",29.678855,-95.667326,0.0,0.0,1,1,0.0,0.0,13.267,1.8,0.0,0.0,1,1,0.75,S,2.0,RES1-2SNB,283772.3073993368,141886.1536996684,1655.0,2004.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00006,"NSI Structure 122565618, Fort Bend County, TX",29.664566,-95.650166,0.0,0.0,1,1,0.0,0.0,3.925,2.62,0.0,0.0,1,1,0.5,S,2.0,RES3A,754321.007525557,264012.35263394495,2598.0,2003.0,0.0,True,0.5,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00007,"NSI Structure 122499956, Fort Bend County, TX",29.699975,-95.843273,0.0,0.0,1,1,0.0,0.0,8.075,8.73,0.0,0.0,1,1,0.75,S,2.0,RES1-2SNB,663551.7558432092,331775.8779216046,1967.0,2009.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00008,"NSI Structure 124736356, Harris County, TX",29.708518,-95.612862,0.0,0.0,1,1,0.0,0.0,6.517,1.74,0.0,0.0,1,1,0.75,S,1.0,RES1-1SNB,102480.07074999998,51240.03537499999,1500.0,1979.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00009,"NSI Structure 122622882, Fort Bend County, TX",29.52342,-95.728548,0.0,0.0,0,1,0.1035,0.0,9.206,1.02,0.0,0.0646,1,1,0.75,S,1.0,RES1-1SNB,386979.7818671419,193489.89093357095,2877.0,2015.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00010,"NSI Structure 122622972, Fort Bend County, TX",29.518763,-95.720926,0.0,0.0,0,1,0.0,0.0,10.873,3.02,0.0,0.0,1,1,0.75,S,1.0,RES1-1SNB,428402.28790913644,214201.14395456822,3475.0,2015.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00011,"NSI Structure 122554521, Fort Bend County, TX",29.631697,-95.735516,0.0,0.0,0,1,0.0,0.0,2.788,6.16,0.0,0.0,1,1,0.75,S,2.0,RES1-2SNB,783594.5965468172,391797.2982734086,3644.0,1992.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00012,"NSI Structure 122538217, Fort Bend County, TX",29.613412,-95.78193,0.0,0.0,0,1,0.0,0.0,26.037,16.92,0.0,0.0,1,1,0.75,S,1.0,RES1-1SNB,615957.2039955996,307978.6019977998,3365.0,2010.0,0.1,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00013,"NSI Structure 122455653, Fort Bend County, TX",29.690584,-95.677852,0.0,0.0,1,1,0.0,0.0,5.688,2.3,0.0,0.0,1,1,0.75,S,2.0,RES1-2SNB,311882.3349467777,155941.16747338884,2010.0,1984.0,0.1,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00014,"NSI Structure 122514317, Fort Bend County, TX",29.679798,-95.89879,0.0,0.0,0,1,0.0,0.0,26.794,3.89,0.0,0.0,1,1,0.75,S,1.0,RES1-1SNB,819832.0317460329,409916.01587301644,3987.0,2008.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00015,"NSI Structure 122523560, Fort Bend County, TX",29.679375,-95.672556,0.0,0.0,1,1,0.0,0.0,13.012,1.03,0.0,0.0,1,1,0.75,S,2.0,RES1-2SNB,318038.48209749314,159019.24104874657,1552.0,2004.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00016,"NSI Structure 122682576, Fort Bend County, TX",29.643206,-95.619877,0.0,0.0,1,1,0.0,0.0,3.851,5.88,0.0,0.0,1,1,0.75,S,1.0,RES1-1SNB,303726.2237311848,151863.1118655924,2498.0,1976.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00017,"NSI Structure 122603449, Fort Bend County, TX",29.696538,-95.781143,0.0,0.0,1,1,0.0,0.0,15.448,0.56,0.0,0.0,1,1,0.75,S,2.0,RES1-2SNB,545791.0888368204,272895.5444184102,2456.0,2015.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00018,"NSI Structure 122602691, Fort Bend County, TX",29.672512,-95.726612,0.0,0.0,1,1,0.0,0.0,11.704,4.8,0.0,0.0,1,1,0.75,S,2.0,RES1-2SNB,428034.9646863131,214017.48234315656,1836.0,2014.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00019,"NSI Structure 122458765, Fort Bend County, TX",29.646182,-95.697822,0.0,0.0,0,1,0.0,0.0,11.115,4.15,0.0,0.0,1,1,0.75,S,2.0,RES1-2SNB,1068422.174199693,534211.0870998465,3754.0,2015.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00020,"NSI Structure 122550369, Fort Bend County, TX",29.592542,-95.666569,0.0,0.0,1,1,0.0,0.0,7.801,0.71,0.0,0.0,1,1,0.75,S,2.0,RES1-2SNB,746075.9528286887,373037.97641434433,2729.0,1995.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00021,"NSI Structure 122469568, Fort Bend County, TX",29.667883,-95.724142,0.0,0.0,1,1,0.0,0.0,11.476,1.45,0.0,0.0,1,1,0.75,S,2.0,RES1-2SNB,385522.5217037452,192761.2608518726,2401.0,2014.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00022,"NSI Structure 122572845, Fort Bend County, TX",29.715844,-95.821534,0.0,0.0,1,1,0.0,0.0,8.938,2.8,0.0,0.0,1,1,0.75,S,2.0,RES1-2SNB,1076861.7956575775,538430.8978287887,3907.0,2010.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00023,"NSI Structure 124170839, Harris County, TX",29.684761,-95.620809,0.0,0.0,1,1,0.0,0.0,10.208,4.53,0.0,0.0,1,1,0.75,S,2.0,RES1-2SNB,275708.1128377933,137854.05641889665,1984.0,2000.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00024,"NSI Structure 122596744, Fort Bend County, TX",29.653503,-95.656786,0.0,0.0,0,1,0.0,0.0,2.023,2.8,0.0,0.0,1,1,0.75,S,2.0,RES1-2SNB,360679.390115651,180339.6950578255,1609.0,2003.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
BRZ-00025,"NSI Structure 122607769, Fort Bend County, TX",29.558955,-95.734834,0.0,0.0,0,1,0.0,0.0,7.746,0.98,0.0,0.0,1,1,0.75,S,1.0,RES1-1SNB,400337.38033480314,200168.69016740157,3959.0,2013.0,0.0,True,0.75,Slab,0.0,USACE NSI (modeled),0.0,0.0,0.0
