property_id,zip
BRZ-00001,77479
BRZ-00002,77469
BRZ-00003,77498
BRZ-00004,77083
BRZ-00005,77083
BRZ-00006,77498
BRZ-00007,77494
BRZ-00008,77072
BRZ-00009,77469
BRZ-00010,77469
BRZ-00011,77406
BRZ-00012,77406
BRZ-00013,77083
BRZ-00014,77441
BRZ-00015,77083
BRZ-00016,77498
BRZ-00017,77406
BRZ-00018,77407
BRZ-00019,77407
BRZ-00020,77479
BRZ-00021,77407
BRZ-00022,77494
BRZ-00023,77083
BRZ-00024,77498
BRZ-00025,77469
BRZ-00026,77407
BRZ-00027,77494
BRZ-00028,77469
BRZ-00029,77083
BRZ-00030,77469
BRZ-00031,77471
BRZ-00032,77407
BRZ-00033,77406
BRZ-00034,77471
BRZ-00035,77479
BRZ-00036,77406
BRZ-00037,77407
BRZ-00038,77498
BRZ-00039,77498
BRZ-00040,77083
BRZ-00041,77406
BRZ-00042,77407
BRZ-00043,77494
BRZ-00044,77407
BRZ-00045,77083
BRZ-00046,77469
BRZ-00047,77469
BRZ-00048,77479
BRZ-00049,77471
BRZ-00050,77407
BRZ-00051,77469
BRZ-00052,77083
BRZ-00053,77407
BRZ-00054,77498
BRZ-00055,77479
BRZ-00056,77469
BRZ-00057,77083
BRZ-00058,77083
BRZ-00059,77498
BRZ-00060,77479
BRZ-00061,77083
BRZ-00062,77083
BRZ-00063,77406
BRZ-00064,77407
BRZ-00065,77478
BRZ-00066,77407
BRZ-00067,77407
BRZ-00068,77469
BRZ-00069,77407
BRZ-00070,77407
BRZ-00071,77494
BRZ-00072,77407
BRZ-00073,77406
BRZ-00074,77479
BRZ-00075,77494
BRZ-00076,77406
BRZ-00077,77494
BRZ-00078,77450
BRZ-00079,77406
BRZ-00080,77083
BRZ-00081,77469
BRZ-00082,77498
BRZ-00083,77478
BRZ-00084,77498
BRZ-00085,77407
BRZ-00086,77469
BRZ-00087,77083
BRZ-00088,77407
BRZ-00089,77083
BRZ-00090,77469
BRZ-00091,77083
BRZ-00092,77407
BRZ-00093,77082
BRZ-00094,77479
BRZ-00095,77469
BRZ-00096,77478
BRZ-00097,77498
BRZ-00098,77479
BRZ-00099,77083
BRZ-00100,77407
BRZ-00101,77083
BRZ-00102,77441
BRZ-00103,77479
BRZ-00104,77407
BRZ-00105,77082
BRZ-00106,77498
BRZ-00107,77406
BRZ-00108,77498
BRZ-00109,77083
BRZ-00110,77407
BRZ-00111,77471
BRZ-00112,77406
BRZ-00113,77406
BRZ-00114,77407
BRZ-00115,77494
BRZ-00116,77406
BRZ-00117,77498
BRZ-00118,77494
BRZ-00119,77471
BRZ-00120,77479
BRZ-00121,77479
BRZ-00122,77407
BRZ-00123,77494
BRZ-00124,77469
BRZ-00125,77471
BRZ-00126,77406
BRZ-00127,77406
BRZ-00128,77479
BRZ-00129,77479
BRZ-00130,77479
BRZ-00131,77406
BRZ-00132,77494
BRZ-00133,77471
BRZ-00134,77479
BRZ-00135,77469
BRZ-00136,77407
BRZ-00137,77479
BRZ-00138,77471
BRZ-00139,77479
BRZ-00140,77479
BRZ-00141,77479
BRZ-00142,77479
BRZ-00143,77479
BRZ-00144,77407
BRZ-00145,77441
BRZ-00146,77450
BRZ-00147,77407
BRZ-00148,77407
BRZ-00149,77479
BRZ-00150,77498
BRZ-00151,77469
BRZ-00152,77471
BRZ-00153,77469
BRZ-00154,77469
BRZ-00155,77406
BRZ-00156,77083
BRZ-00157,77441
BRZ-00158,77406
BRZ-00159,77471
BRZ-00160,77498
BRZ-00161,77083
BRZ-00162,77082
BRZ-00163,77494
BRZ-00164,77450
BRZ-00165,77406
BRZ-00166,77406
BRZ-00167,77498
BRZ-00168,77469
BRZ-00169,77406
BRZ-00170,77471
BRZ-00171,77406
BRZ-00172,77406
BRZ-00173,77479
BRZ-00174,77479
BRZ-00175,77072
BRZ-00176,77450
BRZ-00177,77407
BRZ-00178,77498
BRZ-00179,77498
BRZ-00180,77469
BRZ-00181,77471
BRZ-00182,77498
BRZ-00183,77469
BRZ-00184,77083
BRZ-00185,77407
BRZ-00186,77406
BRZ-00187,77083
BRZ-00188,77494
BRZ-00189,77083
BRZ-00190,77469
BRZ-00191,77479
BRZ-00192,77479
BRZ-00193,77407
BRZ-00194,77407
BRZ-00195,77479
BRZ-00196,77498
BRZ-00197,77498
BRZ-00198,77469
BRZ-00199,77479
BRZ-00200,77083
BRZ-00201,77083
BRZ-00202,77083
BRZ-00203,77498
BRZ-00204,77498
BRZ-00205,77406
BRZ-00206,77471
BRZ-00207,77498
BRZ-00208,77406
BRZ-00209,77406
BRZ-00210,77407
BRZ-00211,77498
BRZ-00212,77099
BRZ-00213,77498
BRZ-00214,77406
BRZ-00215,77407
BRZ-00216,77072
BRZ-00217,77469
BRZ-00218,77407
BRZ-00219,77469
BRZ-00220,77498
BRZ-00221,77479
BRZ-00222,77072
BRZ-00223,77479
BRZ-00224,77407
BRZ-00225,77406
BRZ-00226,77083
BRZ-00227,77407
BRZ-00228,77469
BRZ-00229,77083
BRZ-00230,77494
BRZ-00231,77479
BRZ-00232,77469
BRZ-00233,77469
BRZ-00234,77469
BRZ-00235,77494
BRZ-00236,77471
BRZ-00237,77406
BRZ-00238,77083
BRZ-00239,77479
BRZ-00240,77469
BRZ-00241,77407
BRZ-00242,77479
BRZ-00243,77498
BRZ-00244,77494
BRZ-00245,77498
BRZ-00246,77083
BRZ-00247,77494
BRZ-00248,77072
BRZ-00249,77471
BRZ-00250,77479
BRZ-00251,77083
BRZ-00252,77083
BRZ-00253,77099
BRZ-00254,77083
BRZ-00255,77083
BRZ-00256,77406
BRZ-00257,77478
BRZ-00258,77083
BRZ-00259,77441
BRZ-00260,77406
BRZ-00261,77478
BRZ-00262,77407
BRZ-00263,77450
BRZ-00264,77407
BRZ-00265,77406
BRZ-00266,77083
BRZ-00267,77083
BRZ-00268,77471
BRZ-00269,77479
BRZ-00270,77406
BRZ-00271,77406
BRZ-00272,77072
BRZ-00273,77407
BRZ-00274,77469
BRZ-00275,77099
BRZ-00276,77498
