fd_id,occtype,st_damcat,found_ht,found_type,num_story,sqft,ftprntsqft,val_struct,val_cont,ground_elv,med_yr_blt,firmzone,bldheight,usastrucid,longitude,latitude
123326198,RES1-1SNB,RES,0.75,S,1,1436.0,2004,132642.12375,66321.061875,102.91419,1982,X,2.82,,-95.641612057717,29.836681246908
123326205,RES1-1SNB,RES,0.75,S,1,1573.0,2233,140858.89654126816,70429.44827063408,103.21856,1982,X,3.23,,-95.641610984921,29.836819658136
123326215,RES1-1SNB,RES,0.75,S,1,1546.0,2026,139342.21245417206,69671.10622708603,103.33404,1982,X,3.12,,-95.641614925618,29.836942196227
123326226,RES1-1SNB,RES,0.75,S,1,1516.0,1970,138407.97748319004,69203.98874159502,103.52585,1982,X,3.09,,-95.641929227542,29.836827911265
123326228,RES1-1SNB,RES,0.75,S,1,1491.0,1887,135954.7413,67977.37065,103.554886,1982,X,2.74,,-95.641912114313,29.836687092301
123326237,RES1-1SNB,RES,0.75,S,1,1409.0,1844,130968.20444999999,65484.102224999995,103.24859,1982,X,2.43,,-95.641618806845,29.837083852337
123333165,RES3D,RES,0.5,S,2,19400.0,9700,2370732.3066240903,829756.3073184316,94.10676,2001,X,7.52,,-95.653283341122,29.79015282286
123342804,RES1-1SNB,RES,0.75,S,1,2296.0,2870,409378.3317789506,204689.1658894753,114.794815,2004,X,4.13,,-95.672790679028,29.832625912752
123342808,RES1-1SNB,RES,0.75,S,1,2906.0,1748,476592.8465813501,238296.42329067504,114.47007,2004,X,4.66,,-95.6733246946,29.832269974177
123342770,RES1-1SNB,RES,0.75,S,1,1975.0,2545,374244.54969950794,187122.27484975397,114.29694,2004,X,3.99,,-95.672579197666,29.833275715386
123342814,RES1-2SNB,RES,0.75,S,2,2994.0,2577,483075.2574836281,241537.62874181406,114.29822,2004,X,5.0,,-95.671803393489,29.833691353377
123342816,RES1-2SNB,RES,0.75,S,2,1684.0,2205,342787.7501948474,171393.8750974237,112.340904,2004,X,5.98,,-95.672918419617,29.831499397889
123342820,RES1-1SNB,RES,0.75,S,1,2864.0,2155,472335.90431251033,236167.95215625517,114.62495,2004,X,4.92,,-95.672813013339,29.83234607474
123342845,RES1-1SNB,RES,0.75,S,1,2259.0,2667,406615.08871942374,203307.54435971187,114.22501,2004,X,3.93,,-95.672793572221,29.832210969468
123342846,RES1-2SNB,RES,0.75,S,2,2144.0,2383,393637.2702189729,196818.63510948644,114.62645,2004,X,5.1,,-95.672804171458,29.832487728884
123342857,RES1-1SNB,RES,0.75,S,1,2426.0,2808,421435.70077173575,210717.85038586787,114.61108,2004,X,4.12,,-95.672803221579,29.833040545986
123342892,RES1-1SNB,RES,0.75,S,1,2174.0,2760,396871.6527081174,198435.8263540587,114.45401,2004,X,1.26,,-95.673270609601,29.832495732795
123342893,RES1-2SNB,RES,0.75,S,2,2195.0,2766,403144.1775289108,201572.0887644554,113.916275,2004,X,5.23,,-95.672817446261,29.832073060159
123342895,RES1-2SNB,RES,0.75,S,2,2880.0,2793,475122.73888613324,237561.36944306662,112.774994,2004,X,5.47,,-95.672889932469,29.831631100475
123342898,RES1-1SNB,RES,0.75,S,1,2004.0,2376,377713.82782682875,188856.91391341438,114.12841,2004,X,4.57,,-95.6728939747,29.833277472986
123342835,RES1-1SNB,RES,0.75,S,1,3217.0,3002,509686.3633136889,254843.18165684445,113.42976,2004,X,4.64,,-95.672873247829,29.831786063673
123342838,RES1-1SNB,RES,0.75,S,1,2015.0,2505,378162.2835617351,189081.14178086756,114.58293,2004,X,4.66,,-95.67281255593,29.832898684066
123342886,RES1-2SNB,RES,0.75,S,2,1939.0,2277,377119.327033721,188559.6635168605,111.67522,2004,X,5.55,,-95.672901869877,29.83137486057
123342887,RES1-1SNB,RES,0.75,S,1,2160.0,2554,395370.0822969452,197685.0411484726,114.290245,2004,X,4.2,,-95.672736042941,29.833265762957
