property_id,address,latitude,longitude
HARV-00001,"1516 Pech Road, Houston, TX",29.79745,-95.494386
HARV-00002,"4001 Stanford Street, Houston, TX, 77006",29.736959,-95.388426
HARV-00003,"5314 Dashwood Drive, Houston, 77081",29.70801,-95.47327
HARV-00004,"1300 Binz Street, Houston, TX, 77004",29.723377,-95.386876
HARV-00005,"7887 Beechnut Street, Houston, 77074",29.691246,-95.525125
HARV-00006,2025 West 11th Street,29.789523,-95.418341
HARV-00007,"1500 Sunset Boulevard, Houston, TX, 77005",29.723367,-95.398304
HARV-00008,"8393 Westview Drive, Houston, 77055",29.79873,-95.510255
HARV-00009,"4417 Bellaire Boulevard, Bellaire, 77401",29.705227,-95.450601
HARV-00010,"7000 Bellaire Boulevard, Houston, TX",29.704879,-95.507843
HARV-00011,"4610 Bellaire Boulevard, Bellaire, TX, 77401",29.706209,-95.456754
HARV-00012,"2727 Gramercy Street, Houston, 77025",29.703943,-95.421409
HARV-00013,"7000 Fannin Street, Houston, TX, 77030",29.702991,-95.403152
HARV-00014,"1504 Wirt Road, Houston, 77055",29.7969,-95.4847
HARV-00015,"3945 Greenbriar Drive, Stafford, 77477",29.6324,-95.5703
HARV-00016,"13913 South Post Oak Road, Houston, TX, 77045",29.6256,-95.465
HARV-00017,"7887 Beechnut Street, Houston",29.691246,-95.524657
HARV-00018,"2305 Dunlavy Street, Houston, TX",29.745432,-95.401968
HARV-00019,"3402 Washington Avenue, Houston, TX, 77007",29.769581,-95.394261
HARV-00020,"7502 Fondren Road, Houston, 77074",29.69302,-95.514798
HARV-00021,"6100 Main Street, Houston, TX",29.718044,-95.401918
HARV-00022,"440 Wilchester Boulevard, Houston, TX, 77079",29.771098,-95.570294
HARV-00023,"5509 Richmond Avenue, Houston, 77056",29.731104,-95.474183
HARV-00024,"5513 Richmond Avenue, Houston, 77056",29.731096,-95.474397
HARV-00025,"4040 West Bellfort Street, Houston, TX",29.673527,-95.443922
HARV-00026,"2521 Post Oak Boulevard, Houston, TX, 77056",29.74123,-95.460606
HARV-00027,"322 Westheimer Road, Houston, TX, 77006",29.744737,-95.385631
HARV-00028,"6001 Fannin Street, Houston, TX, 77030",29.721591,-95.390969
HARV-00029,"1422 West Gray Street, Houston, TX",29.753448,-95.399517
HARV-00030,"2029 West Gray Street, Houston, TX",29.752774,-95.40991
HARV-00031,"2009 West Gray Street, Houston, TX, 77019",29.75268,-95.409141
HARV-00032,"2006 Peden Street, Houston, TX, 77019",29.752455,-95.408788
HARV-00033,"2047 West Gray Street, Houston, TX, 77019",29.752354,-95.410423
HARV-00034,"2002 West Gray Street, Houston, TX, 77019",29.753416,-95.408626
HARV-00035,"12448 Memorial Drive, Houston, TX, 77024",29.766685,-95.549111
HARV-00036,"12500 Memorial Drive, Lantern Lane, TX, 77024",29.766491,-95.550248
HARV-00037,"12516 Memorial Drive, Houston, TX, 77024",29.76703,-95.551503
HARV-00038,"3111 Chimney Rock Road, Houston, TX, 77056",29.7328,-95.476196
HARV-00039,"9600 Westheimer Road, Houston",29.738277,-95.53535
HARV-00040,"4040 Bissonnet, Houston, TX, 77005",29.72119,-95.442528
HARV-00041,"4080 Bissonnet Street, Houston, TX, 77005",29.721049,-95.442783
HARV-00042,"9369 Richmond Avenue, Houston, TX, 77063",29.728153,-95.529714
HARV-00043,"5767 Woodway Drive, Houston, TX, 77057",29.760105,-95.482412
HARV-00044,5818 Memorial Drive,29.761795,-95.420777
HARV-00045,"5535 Memorial Drive, Houston, TX, 77007",29.761085,-95.41727
HARV-00046,5814 Memorial Drive,29.761795,-95.420646
HARV-00047,"645 East 11th Street, Houston, TX",29.791003,-95.390268
HARV-00048,"933 Studewood Street, Houston, TX, 77009",29.788719,-95.388084
HARV-00049,"643 East 11th Street, Houston, TX",29.790999,-95.390123
HARV-00050,"570 Waugh Drive, Houston, TX, 77019",29.759784,-95.398927
HARV-00051,"10424 Hillcroft Avenue, Houston, 77096",29.667704,-95.493384
HARV-00052,"818 Town & Country Boulevard, Houston, TX",29.781667,-95.560151
HARV-00053,"5016 San Felipe Street, Houston, TX, 77056",29.751148,-95.462453
HARV-00054,"3747 Westheimer Road, Houston, TX, 77027",29.741028,-95.441208
HARV-00055,"5330 Weslayan Street, 77005",29.724041,-95.442688
