property_id,address,latitude,longitude,pct_flooded,max_depth_ft,urban_flag,optical_available,optical_water_pct,wse_spread_ft,rel_elev_ft,dem_resolution_m,depth_lower_ft,depth_upper_ft,depth_ci_ft
HARV-00001,"1516 Pech Road, Houston, TX",29.79745,-95.494386,0.0,0.0,1,1,0.0,0.0,3.552,1,0.0,0.0,0.0
HARV-00002,"4001 Stanford Street, Houston, TX, 77006",29.736959,-95.388426,0.0,0.0,1,1,0.0,0.0,1.865,1,0.0,0.0,0.0
HARV-00003,"5314 Dashwood Drive, Houston, 77081",29.70801,-95.47327,0.0,0.0,1,1,0.2309,0.0,1.801,1,0.0,0.0,0.0
HARV-00004,"1300 Binz Street, Houston, TX, 77004",29.723377,-95.386876,0.0,0.0,1,1,0.0,0.0,4.824,1,0.0,0.0,0.0
HARV-00005,"7887 Beechnut Street, Houston, 77074",29.691246,-95.525125,0.0,0.0,1,1,0.0,0.0,4.475,1,0.0,0.0,0.0
HARV-00006,2025 West 11th Street,29.789523,-95.418341,0.0,0.0,1,1,0.0,0.0,32.509,1,0.0,0.0,0.0
HARV-00007,"1500 Sunset Boulevard, Houston, TX, 77005",29.723367,-95.398304,0.0,0.0,1,1,0.0,0.0,3.297,1,0.0,0.0,0.0
HARV-00008,"8393 Westview Drive, Houston, 77055",29.79873,-95.510255,0.0,0.0,0,1,0.0,0.0,8.478,1,0.0,0.0,0.0
HARV-00009,"4417 Bellaire Boulevard, Bellaire, 77401",29.705227,-95.450601,0.0,0.0,1,1,0.2187,0.0,3.763,1,0.0,0.0,0.0
HARV-00010,"7000 Bellaire Boulevard, Houston, TX",29.704879,-95.507843,0.0,0.0,1,1,0.0,0.0,3.766,1,0.0,0.0,0.0
HARV-00011,"4610 Bellaire Boulevard, Bellaire, TX, 77401",29.706209,-95.456754,0.0,0.0,1,1,0.0,0.0,3.374,1,0.0,0.0,0.0
HARV-00012,"2727 Gramercy Street, Houston, 77025",29.703943,-95.421409,0.0,0.0,1,1,0.0,0.0,1.954,1,0.0,0.0,0.0
HARV-00013,"7000 Fannin Street, Houston, TX, 77030",29.702991,-95.403152,0.0,0.0,1,1,0.5772,0.0,30.464,1,0.0,0.0,0.0
HARV-00014,"1504 Wirt Road, Houston, 77055",29.7969,-95.4847,0.0,0.0,1,1,0.0,0.0,2.112,1,0.0,0.0,0.0
HARV-00015,"3945 Greenbriar Drive, Stafford, 77477",29.6324,-95.5703,0.0,0.0,1,1,0.1629,0.0,2.737,1,0.0,0.0,0.0
HARV-00016,"13913 South Post Oak Road, Houston, TX, 77045",29.6256,-95.465,0.0,0.0,1,1,0.1014,0.0,3.194,1,0.0,0.0,0.0
HARV-00017,"7887 Beechnut Street, Houston",29.691246,-95.524657,0.0,0.0,1,1,0.0,0.0,4.02,1,0.0,0.0,0.0
