property_id,zip
HARV-00001,77055
HARV-00002,77006
HARV-00003,77081
HARV-00004,77004
HARV-00005,77074
HARV-00006,77008
HARV-00007,77005
HARV-00008,77055
HARV-00009,77401
HARV-00010,77074
HARV-00011,77401
HARV-00012,77025
HARV-00013,77030
HARV-00014,77055
HARV-00015,77477
HARV-00016,77045
HARV-00017,77074
HARV-00018,77006
HARV-00019,77007
HARV-00020,77074
HARV-00021,77005
HARV-00022,77079
HARV-00023,77056
HARV-00024,77056
HARV-00025,77025
HARV-00026,77056
HARV-00027,77006
HARV-00028,77030
HARV-00029,77019
HARV-00030,77019
HARV-00031,77019
HARV-00032,77019
HARV-00033,77019
HARV-00034,77019
HARV-00035,77024
HARV-00036,77024
HARV-00037,77024
HARV-00038,77056
HARV-00039,77063
HARV-00040,77005
HARV-00041,77005
HARV-00042,77063
HARV-00043,77057
HARV-00044,77007
HARV-00045,77007
HARV-00046,77007
HARV-00047,77008
HARV-00048,77008
HARV-00049,77008
HARV-00050,77019
HARV-00051,77096
HARV-00052,77024
HARV-00053,77056
HARV-00054,77027
HARV-00055,77005
HARV-00056,77027
HARV-00057,77027
HARV-00058,77027
HARV-00059,77030
HARV-00060,77030
HARV-00061,77030
HARV-00062,77030
HARV-00063,77030
HARV-00064,77030
HARV-00065,77030
HARV-00066,77054
HARV-00067,77054
HARV-00068,77030
HARV-00069,77030
HARV-00070,77030
HARV-00071,77096
HARV-00072,77096
HARV-00073,77096
HARV-00074,77096
HARV-00075,77096
HARV-00076,77096
HARV-00077,77096
HARV-00078,77096
HARV-00079,77096
HARV-00080,77096
HARV-00081,77096
HARV-00082,77096
HARV-00083,77096
HARV-00084,77006
HARV-00085,77019
HARV-00086,77096
HARV-00087,77056
HARV-00088,77098
HARV-00089,77006
HARV-00090,77401
HARV-00091,77098
HARV-00092,77098
HARV-00093,77019
HARV-00094,77098
HARV-00095,77019
HARV-00096,77005
HARV-00097,77005
HARV-00098,77025
HARV-00099,77025
HARV-00100,77027
HARV-00101,77098
HARV-00102,77098
HARV-00103,77096
HARV-00104,77081
HARV-00105,77005
HARV-00106,77005
HARV-00107,77005
HARV-00108,77096
HARV-00109,77096
HARV-00110,77027
HARV-00111,77027
HARV-00112,77027
HARV-00113,77096
HARV-00114,77056
HARV-00115,77027
HARV-00116,77056
HARV-00117,77401
HARV-00118,77007
HARV-00119,77056
HARV-00120,77056
HARV-00121,77025
HARV-00122,77007
HARV-00123,77007
HARV-00124,77007
HARV-00125,77056
HARV-00126,77098
HARV-00127,77096
HARV-00128,77096
HARV-00129,77096
HARV-00130,77096
HARV-00131,77096
HARV-00132,77025
HARV-00133,77096
HARV-00134,77096
HARV-00135,77096
HARV-00136,77096
HARV-00137,77096
HARV-00138,77096
HARV-00139,77096
HARV-00140,77096
HARV-00141,77096
HARV-00142,77056
HARV-00143,77099
HARV-00144,77056
HARV-00145,77025
HARV-00146,77063
HARV-00147,77081
HARV-00148,77036
HARV-00149,77025
HARV-00150,77007
HARV-00151,77401
HARV-00152,77056
HARV-00153,77056
HARV-00154,77005
HARV-00155,77098
HARV-00156,77098
HARV-00157,77025
HARV-00158,77025
HARV-00159,77007
HARV-00160,77019
HARV-00161,77019
HARV-00162,77055
HARV-00163,77027
HARV-00164,77027
HARV-00165,77098
HARV-00166,77098
HARV-00167,77025
HARV-00168,77043
HARV-00169,77019
HARV-00170,77019
HARV-00171,77019
HARV-00172,77056
HARV-00173,77074
HARV-00174,77074
HARV-00175,77007
HARV-00176,77024
HARV-00177,77401
HARV-00178,77401
HARV-00179,77401
HARV-00180,77401
HARV-00181,77401
HARV-00182,77401
HARV-00183,77401
HARV-00184,77401
HARV-00185,77401
HARV-00186,77401
HARV-00187,77401
HARV-00188,77401
HARV-00189,77401
HARV-00190,77401
HARV-00191,77401
HARV-00192,77401
HARV-00193,77401
HARV-00194,77401
HARV-00195,77401
HARV-00196,77401
HARV-00197,77401
HARV-00198,77401
HARV-00199,77401
HARV-00200,77401
HARV-00201,77401
HARV-00202,77401
HARV-00203,77401
HARV-00204,77401
HARV-00205,77401
HARV-00206,77401
HARV-00207,77401
HARV-00208,77401
HARV-00209,77401
HARV-00210,77401
HARV-00211,77401
HARV-00212,77401
HARV-00213,77401
HARV-00214,77401
HARV-00215,77401
HARV-00216,77401
HARV-00217,77401
HARV-00218,77401
HARV-00219,77401
HARV-00220,77401
HARV-00221,77401
HARV-00222,77401
HARV-00223,77401
HARV-00224,77401
HARV-00225,77401
HARV-00226,77401
HARV-00227,77401
HARV-00228,77401
HARV-00229,77401
HARV-00230,77098
HARV-00231,77098
HARV-00232,77098
HARV-00233,77006
HARV-00234,77098
HARV-00235,77098
HARV-00236,77098
HARV-00237,77063
HARV-00238,77096
HARV-00239,77096
HARV-00240,77054
HARV-00241,77025
HARV-00242,77096
HARV-00243,77096
HARV-00244,77096
HARV-00245,77096
HARV-00246,77096
HARV-00247,77096
HARV-00248,77096
HARV-00249,77401
HARV-00250,77007
HARV-00251,77007
HARV-00252,77007
HARV-00253,77007
HARV-00254,77007
HARV-00255,77007
HARV-00256,77096
HARV-00257,77096
HARV-00258,77096
HARV-00259,77096
HARV-00260,77096
HARV-00261,77096
HARV-00262,77096
HARV-00263,77096
HARV-00264,77096
HARV-00265,77096
HARV-00266,77096
HARV-00267,77096
HARV-00268,77096
HARV-00269,77096
HARV-00270,77096
HARV-00271,77096
HARV-00272,77096
HARV-00273,77096
HARV-00274,77096
HARV-00275,77006
HARV-00276,77098
HARV-00277,77098
HARV-00278,77005
HARV-00279,77005
HARV-00280,77005
HARV-00281,77006
HARV-00282,77401
HARV-00283,77401
HARV-00284,77401
HARV-00285,77401
HARV-00286,77096
HARV-00287,77401
HARV-00288,77096
HARV-00289,77096
HARV-00290,77077
HARV-00291,77072
HARV-00292,77005
HARV-00293,77055
HARV-00294,77098
HARV-00295,77096
HARV-00296,77096
HARV-00297,77401
HARV-00298,77401
HARV-00299,77096
HARV-00300,77096
HARV-00301,77096
HARV-00302,77401
HARV-00303,77401
HARV-00304,77098
HARV-00305,77098
HARV-00306,77098
HARV-00307,77046
HARV-00308,77098
HARV-00309,77054
HARV-00310,77401
HARV-00311,77025
HARV-00312,77401
HARV-00313,77401
HARV-00314,77401
HARV-00315,77401
HARV-00316,77401
HARV-00317,77401
HARV-00318,77401
HARV-00319,77096
HARV-00320,77096
HARV-00321,77055
HARV-00322,77024
HARV-00323,77024
HARV-00324,77043
HARV-00325,77079
HARV-00326,77024
HARV-00327,77096
HARV-00328,77096
HARV-00329,77096
HARV-00330,77096
HARV-00331,77054
HARV-00332,77025
HARV-00333,77025
HARV-00334,77096
HARV-00335,77096
HARV-00336,77096
HARV-00337,77007
HARV-00338,77007
HARV-00339,77007
HARV-00340,77007
HARV-00341,77007
HARV-00342,77007
HARV-00343,77007
HARV-00344,77081
HARV-00345,77081
HARV-00346,77019
HARV-00347,77401
HARV-00348,77007
HARV-00349,77008
HARV-00350,77007
HARV-00351,77045
HARV-00352,77043
HARV-00353,77071
HARV-00354,77401
HARV-00355,77401
HARV-00356,77401
HARV-00357,77401
HARV-00358,77074
HARV-00359,77036
HARV-00360,77071
HARV-00361,77071
HARV-00362,77071
HARV-00363,77096
HARV-00364,77096
HARV-00365,77096
HARV-00366,77096
HARV-00367,77096
HARV-00368,77096
HARV-00369,77005
HARV-00370,77036
HARV-00371,77027
HARV-00372,77027
HARV-00373,77027
HARV-00374,77054
HARV-00375,77042
HARV-00376,77025
HARV-00377,77085
HARV-00378,77035
HARV-00379,77005
HARV-00380,77047
HARV-00381,77098
HARV-00382,77019
HARV-00383,77019
HARV-00384,77019
HARV-00385,77019
HARV-00386,77019
HARV-00387,77005
HARV-00388,77025
HARV-00389,77025
HARV-00390,77005
HARV-00391,77098
HARV-00392,77096
HARV-00393,77096
HARV-00394,77036
HARV-00395,77024
HARV-00396,77081
HARV-00397,77057
HARV-00398,77027
HARV-00399,77019
HARV-00400,77054
HARV-00401,77025
HARV-00402,77007
HARV-00403,77036
HARV-00404,77057
HARV-00405,77025
HARV-00406,77006
HARV-00407,77063
HARV-00408,77036
HARV-00409,77056
HARV-00410,77007
HARV-00411,77007
HARV-00412,77007
HARV-00413,77027
HARV-00414,77057
HARV-00415,77063
HARV-00416,77005
HARV-00417,77056
HARV-00418,77025
HARV-00419,77024
HARV-00420,77079
HARV-00421,77007
HARV-00422,77007
HARV-00423,77031
HARV-00424,77031
HARV-00425,77071
HARV-00426,77096
HARV-00427,77096
