property_id,address,hwm_id,site_id,latitude,longitude,surveyed_ft,hwm_quality,hwm_type,hwm_environment,waterbody,flag_date,survey_date,pct_flooded,max_depth_ft,urban_flag,optical_available,optical_water_pct,wse_spread_ft,rel_elev_ft,hand_ft,water_fraction,dpol_available,dpol_water,db_available,double_bounce,vh_available,vh_water_pct,rain_mm,ndvi_valid,ndvi_delta,near_water_flag,flood_s0,flood_s1,flood_s2,sample_radius_m
22029,HWM 22029,22029,21420,29.85088,-95.77355,2.65,Poor: +/- 0.40 ft,Seed line,Riverine,South Mayde Cr,2017-09-10T05:00:00,2017-09-10T05:00:00,0.0,0.0,0,1,0.0,0.0,5.554,1.63,0.0,1,0.0081,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
22030,HWM 22030,22030,21420,29.8518,-95.77282,2.64,Poor: +/- 0.40 ft,Mud,Riverine,South Mayde Cr,2017-09-10T05:00:00,2017-09-10T05:00:00,0.0,0.0,0,1,0.0191,0.0,6.303,4.59,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
22031,HWM 22031,22031,21422,29.87522,-95.76947,0.58,Good: +/- 0.10 ft,Seed line,Riverine,Bear Cr,2017-09-10T05:00:00,2017-09-10T05:00:00,0.0,0.0,0,1,0.0,0.0,8.478,0.49,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
22032,HWM 22032,22032,21422,29.87501,-95.77007,0.91,Fair: +/- 0.20 ft,Seed line,Riverine,Bear Cr,2017-09-10T05:00:00,2017-09-10T05:00:00,0.1129,8.53,0,1,0.0,0.083,8.121,0.39,0.0,1,0.0991,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
22033,HWM 22033,22033,21423,29.86147,-95.73068,1.29,Good: +/- 0.10 ft,Debris,Riverine,Bear Cr,2017-09-10T05:00:00,2017-09-10T05:00:00,0.0,0.0,0,1,0.0,0.0,13.302,2.27,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
22034,HWM 22034,22034,21423,29.86147,-95.72979,1.47,Fair: +/- 0.20 ft,Seed line,Riverine,Bear Cr,2017-09-10T05:00:00,2017-09-10T05:00:00,0.0,0.0,1,1,0.0,0.0,10.847,0.41,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
22037,HWM 22037,22037,21426,29.91324,-95.68169,5.85,Poor: +/- 0.40 ft,Debris,Riverine,Horsepen Cr,2017-09-10T05:00:00,2017-09-10T05:00:00,0.0,0.0,0,1,0.1614,0.0,6.329,2.3,0.0,1,0.0076,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
21648,HWM 21648,21648,21179,29.78443,-95.84458,4.12,Good: +/- 0.10 ft,Vegetation line,Riverine,Snake Cr,2017-09-08T05:00:00,2017-09-08T05:00:00,0.0,0.0,0,1,0.0,0.0,5.309,0.19,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
22040,HWM 22040,22040,21427,29.94112,-95.72098,2.23,Fair: +/- 0.20 ft,Seed line,Riverine,Cypress Creek,2017-09-10T05:00:00,2017-09-10T05:00:00,0.0,0.0,0,1,0.0569,0.0,3.253,0.83,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
21662,HWM 21662,21662,21193,29.76528,-95.82202,1.55,Good: +/- 0.10 ft,Seed line,Riverine,Buffalo Bayou,2017-09-08T05:00:00,2017-09-08T05:00:00,0.0,0.0,0,1,0.0,0.0,16.013,1.58,0.0,1,0.0,0,0.0,0,0.0,0.0,0,0.0,0,,,,50
