property_id,address,latitude,longitude,pct_flooded,max_depth_ft
IAN-00001,"25325 Rampart Boulevard, Punta Gorda, 33948",26.999743,-82.030557,0.0,0.0
IAN-00002,19190 Cochran Boulevard,27.006072,-82.135535,0.0,0.0
IAN-00003,"3601 East Price Boulevard, North Port, FL, 34288",27.068303,-82.118254,0.0,0.0
IAN-00004,"25500 Airport Road, Punta Gorda, FL",26.919178,-82.024393,0.0,0.0
IAN-00005,"326 Marion, 33950",26.933827,-82.053267,0.0,0.0
IAN-00006,"9700 SW Riverview Cir, 34268",27.061005,-82.002854,0.0,0.0
IAN-00007,"1451 Tamiami Trail, 33950",26.925516,-82.047631,0.0,0.0
IAN-00008,"26500 Jones Loop Road, Punta Gorda, FL, 33950-4708",26.895633,-82.008995,0.0,0.0
IAN-00009,"9083 Mac Drive, Punta Gorda, FL, 33950",26.896203,-82.006582,0.0,0.0
IAN-00010,"3139 Burnt Store Road, Punta Gorda",26.890202,-82.025794,0.0,0.0
IAN-00011,"18700 Veterans Boulevard, Port Charlotte, FL, 33954-1018",27.01484,-82.145614,0.0,0.0
IAN-00012,"27319 Puno Dr, Punta Gorda, 33983",27.019888,-81.999025,0.0,0.0
IAN-00013,"25781 Aysen Drive, Punta Gorda, 33983",27.021742,-82.037453,0.0,0.0
IAN-00014,"900 Kings Highway, Port Charlotte, FL, 33980",27.016605,-82.050678,0.0,0.0
IAN-00015,"139 West Marion Avenue, Punta Gorda, FL, 33950",26.935408,-82.050707,0.0,0.0
IAN-00016,"21229 Olean Boulevard, Port Charlotte, 33952",26.986477,-82.099259,0.0,0.0
IAN-00017,"131 West Marion Avenue, Punta Gorda, FL, 33950",26.93554,-82.050612,0.0,0.0
IAN-00018,"201 West Marion Avenue, Punta Gorda, FL, 33950",26.934778,-82.051546,0.0,0.0
IAN-00019,"25098 Olympia Avenue, Punta Gorda, FL, 33950",26.941583,-82.036907,0.0,0.0
IAN-00020,317 Tamiami Trail,26.934192,-82.048447,0.0,0.0
IAN-00021,"236 Tamiami Trail, Punta Gorda, FL, 33950",26.93538,-82.049111,0.0,0.0
IAN-00022,309 Tamiami Trail,26.934421,-82.048813,0.0,0.0
IAN-00023,"318 Tamiami Trail, Punta Gorda, FL, 33950",26.934712,-82.048461,0.0,0.0
IAN-00024,305 Tamiami Trail,26.93481,-82.049031,0.0,0.0
IAN-00025,111 Olympia Avenue,26.934716,-82.049455,0.0,0.0
IAN-00026,"117 Herald Court, Punta Gorda, FL, 33950",26.934948,-82.049694,0.0,0.0
IAN-00027,321 West Retta Esplanade,26.934637,-82.053787,0.0,0.0
IAN-00028,215 Olympia Avenue,26.933785,-82.050611,0.0,0.0
IAN-00029,"1777 Tamiami Trail, Port Charlotte, FL, 33948",27.007489,-82.136329,0.0,0.0
IAN-00030,"3941 Tamiami Trail, Punta Gorda, FL, 33950",26.890392,-82.026081,0.0,0.0
IAN-00031,"2000 Kings Highway, Port Charlotte, FL, 33980",27.004096,-82.053081,0.0073,19.69
IAN-00032,"1940-1 Kings Highway, Port Charlotte, FL, 33980",27.003292,-82.053732,0.0,0.0
IAN-00033,"2150 Tamiami Trail, Port Charlotte, FL, 33948",27.002238,-82.125275,0.0,0.0
IAN-00034,"2607 Jerry Avenue, Punta Gorda, FL, 33950",26.913943,-82.043584,0.0,0.0
IAN-00035,"2509 Rio De Janeiro Ave, Punta Gorda, FL, 33983",26.989139,-82.016381,0.0,0.0
IAN-00036,"5001 Taylor Road, Punta Gorda, FL, 33950",26.895289,-82.009715,0.0012,6.56
IAN-00037,"26505 Jones Loop Road, Punta Gorda, FL, 33950",26.894026,-82.00923,0.0,0.0
IAN-00038,"925 Kings Highway, Port Charlotte, FL, 33980",27.01626,-82.052788,0.0004,22.97
IAN-00039,"1021 Kings Highway, Punta Gorda, FL, 33980",27.014152,-82.053677,0.0,0.0
IAN-00040,"24051 Peachland Boulevard, Port Charlotte, FL, 33954-3714",27.015989,-82.056804,0.0,0.0
IAN-00041,"909 Kings Highway, Port Charlotte, FL, 33980-4248",27.016622,-82.05277,0.0,0.0
IAN-00042,26300 Airport Road,26.923334,-82.018596,0.0,0.0
IAN-00043,"408 Tamiami Trail, Punta Gorda, 33950",26.934109,-82.047762,0.0,0.0
IAN-00044,"130 Tamiami Trail, Punta Gorda, 33950",26.9366,-82.050242,0.0,0.0
IAN-00045,"1200 West Retta Esplanade, Punta Gorda, FL",26.928467,-82.064706,0.0,0.0
IAN-00046,"1200 West Retta Esplanade, Punta Gorda, FL, 33950",26.929396,-82.065332,0.0133,9.84
IAN-00047,"3078 Cooper Street, Punta Gorda, 33950",26.910459,-82.039021,0.0,0.0
IAN-00048,"5500 Deltona Drive, Punta Gorda, 33950",26.888309,-82.053255,0.084,3.28
IAN-00049,"1501 South Tamiami Trail, Punta Gorda, FL, 33950",26.924867,-82.047667,0.0,0.0
IAN-00050,"201 West Marion Avenue, Punta Gorda, 33950",26.934874,-82.051439,0.0,0.0
IAN-00051,"320 Sullivan Street, 33950",26.933474,-82.050041,0.0,0.0
IAN-00052,"2310 Tamiami Trail, Punta Gorda, FL, 33950-5933",26.918954,-82.046709,0.0,0.0
IAN-00053,"127 West Marion Avenue, Punta Gorda, 33950",26.93558,-82.050551,0.0,0.0
IAN-00054,"119 West Marion Avenue, Punta Gorda, 33950",26.935626,-82.050497,0.0,0.0
IAN-00055,"121 East Marion Avenue, Punta Gorda, 33950",26.936419,-82.049163,0.0,0.0
IAN-00056,"33 Tamiami Trail, Punta Gorda, 33950",26.938414,-82.052552,0.0,0.0
IAN-00057,"101 East Retta Esplanade, Punta Gorda, 33950",26.937131,-82.05074,0.0,0.0
IAN-00058,"25354 Marlin Drive, Punta Gorda, 33950",26.943292,-82.028405,0.0,0.0
IAN-00059,18150 Murdock Circle,27.005512,-82.146328,0.0,0.0
IAN-00060,"221 Wood Street, Punta Gorda",26.937177,-82.046963,0.0,0.0
