property_id,zip
IAN-00001,33983
IAN-00002,33948
IAN-00003,34288
IAN-00004,33950
IAN-00005,33950
IAN-00006,34269
IAN-00007,33950
IAN-00008,33950
IAN-00009,33950
IAN-00010,33950
IAN-00011,33954
IAN-00012,33983
IAN-00013,33983
IAN-00014,33980
IAN-00015,33950
IAN-00016,33952
IAN-00017,33950
IAN-00018,33950
IAN-00019,33950
IAN-00020,33950
IAN-00021,33950
IAN-00022,33950
IAN-00023,33950
IAN-00024,33950
IAN-00025,33950
IAN-00026,33950
IAN-00027,33950
IAN-00028,33950
IAN-00029,33948
IAN-00030,33950
IAN-00031,33980
IAN-00032,33980
IAN-00033,33948
IAN-00034,33950
IAN-00035,33983
IAN-00036,33950
IAN-00037,33950
IAN-00038,33980
IAN-00039,33980
IAN-00040,33954
IAN-00041,33980
IAN-00042,33950
IAN-00043,33950
IAN-00044,33950
IAN-00045,33950
IAN-00046,33950
IAN-00047,33950
IAN-00048,33950
IAN-00049,33950
IAN-00050,33950
IAN-00051,33950
IAN-00052,33950
IAN-00053,33950
IAN-00054,33950
IAN-00055,33950
IAN-00056,33950
IAN-00057,33950
IAN-00058,33950
IAN-00059,33948
IAN-00060,33950
IAN-00061,33950
IAN-00062,33952
IAN-00063,33952
IAN-00064,33983
IAN-00065,33983
IAN-00066,33950
IAN-00067,33954
IAN-00068,33948
IAN-00069,33954
IAN-00070,33954
IAN-00071,33954
IAN-00072,33954
IAN-00073,33980
IAN-00074,33980
IAN-00075,33980
IAN-00076,33980
IAN-00077,33980
IAN-00078,33954
IAN-00079,33954
IAN-00080,33983
IAN-00081,33952
IAN-00082,33954
IAN-00083,33950
IAN-00084,33950
IAN-00085,33950
IAN-00086,33950
IAN-00087,33950
IAN-00088,33982
IAN-00089,33948
IAN-00090,33948
IAN-00091,33948
IAN-00092,33948
IAN-00093,33948
IAN-00094,33950
IAN-00095,33982
IAN-00096,33983
IAN-00097,33948
IAN-00098,33948
IAN-00099,33948
IAN-00100,33948
IAN-00101,33948
IAN-00102,33948
IAN-00103,33948
IAN-00104,33980
IAN-00105,33983
IAN-00106,33948
IAN-00107,33948
IAN-00108,33948
IAN-00109,33948
IAN-00110,33948
IAN-00111,33980
IAN-00112,33982
IAN-00113,33950
IAN-00114,33950
IAN-00115,34288
IAN-00116,33954
IAN-00117,33983
IAN-00118,33983
IAN-00119,33954
IAN-00120,33948
IAN-00121,33950
IAN-00122,33952
IAN-00123,33948
IAN-00124,33952
IAN-00125,33950
IAN-00126,33950
IAN-00127,33950
IAN-00128,33955
IAN-00129,33952
IAN-00130,33948
IAN-00131,33980
IAN-00132,33982
IAN-00133,33950
IAN-00134,33948
IAN-00135,33948
IAN-00136,33952
IAN-00137,33980
IAN-00138,33952
IAN-00139,33948
IAN-00140,33954
IAN-00141,33950
IAN-00142,33980
IAN-00143,33980
IAN-00144,33980
IAN-00145,33952
IAN-00146,33948
IAN-00147,33948
IAN-00148,33948
IAN-00149,33948
IAN-00150,33948
IAN-00151,33948
IAN-00152,33952
IAN-00153,33952
IAN-00154,33952
IAN-00155,33952
IAN-00156,33952
IAN-00157,33952
IAN-00158,33952
IAN-00159,33952
IAN-00160,33952
IAN-00161,33952
IAN-00162,33980
IAN-00163,33952
IAN-00164,33952
IAN-00165,33952
IAN-00166,33952
IAN-00167,33948
IAN-00168,33948
IAN-00169,33948
IAN-00170,33950
IAN-00171,33980
IAN-00172,33952
IAN-00173,33950
IAN-00174,33948
IAN-00175,33948
IAN-00176,33982
IAN-00177,33950
IAN-00178,33980
IAN-00179,33980
IAN-00180,33980
IAN-00181,33953
IAN-00182,33980
IAN-00183,33950
IAN-00184,33950
IAN-00185,33980
IAN-00186,33983
IAN-00187,33950
IAN-00188,33950
IAN-00189,33982
IAN-00190,33982
IAN-00191,33982
IAN-00192,33982
IAN-00193,33983
IAN-00194,33983
IAN-00195,33952
IAN-00196,33980
IAN-00197,33983
IAN-00198,33948
IAN-00199,33948
IAN-00200,33948
IAN-00201,33950
IAN-00202,33954
IAN-00203,33980
IAN-00204,33954
IAN-00205,33950
IAN-00206,33950
IAN-00207,33950
IAN-00208,33950
IAN-00209,33950
IAN-00210,33950
IAN-00211,33950
IAN-00212,33950
IAN-00213,33955
IAN-00214,33950
IAN-00215,33982
IAN-00216,33980
IAN-00217,33980
IAN-00218,33983
IAN-00219,33954
IAN-00220,33948
IAN-00221,33948
IAN-00222,33950
IAN-00223,33950
IAN-00224,33952
IAN-00225,33948
IAN-00226,33948
IAN-00227,33948
IAN-00228,33952
IAN-00229,33952
IAN-00230,33952
IAN-00231,33952
IAN-00232,33952
IAN-00233,33952
IAN-00234,33952
IAN-00235,33952
IAN-00236,33952
IAN-00237,33952
IAN-00238,33952
IAN-00239,33952
IAN-00240,33952
IAN-00241,33952
IAN-00242,33952
IAN-00243,33952
IAN-00244,33952
IAN-00245,33952
IAN-00246,33952
IAN-00247,33952
IAN-00248,33952
IAN-00249,33952
IAN-00250,33952
IAN-00251,33952
IAN-00252,33952
IAN-00253,33952
IAN-00254,33980
IAN-00255,33980
IAN-00256,33952
IAN-00257,33950
IAN-00258,33952
IAN-00259,33952
IAN-00260,33952
IAN-00261,33948
IAN-00262,33983
IAN-00263,33983
IAN-00264,33983
IAN-00265,33983
IAN-00266,33983
IAN-00267,33983
IAN-00268,34288
IAN-00269,33980
IAN-00270,33948
IAN-00271,33952
IAN-00272,33952
IAN-00273,33952
IAN-00274,33952
IAN-00275,33952
IAN-00276,33952
IAN-00277,33952
IAN-00278,33952
IAN-00279,33952
IAN-00280,33952
IAN-00281,33952
IAN-00282,33952
IAN-00283,33952
IAN-00284,33952
IAN-00285,33952
IAN-00286,33952
IAN-00287,33952
IAN-00288,33952
IAN-00289,33952
IAN-00290,33952
IAN-00291,33952
IAN-00292,33952
IAN-00293,33952
IAN-00294,33952
IAN-00295,33952
IAN-00296,33952
IAN-00297,33952
IAN-00298,33952
IAN-00299,33952
IAN-00300,33952
IAN-00301,33952
IAN-00302,33952
IAN-00303,33952
IAN-00304,33952
IAN-00305,33952
