property_id,address,latitude,longitude
NRIV-00001,"71 Bridge St, Coraki NSW",-29.099442,153.1981
NRIV-00002,"174 Wilson St, Coraki NSW",-29.101107,153.210113
NRIV-00003,"109 River Rd, Coraki NSW",-29.098431,153.216681
NRIV-00004,"130 Bagotville Rd, Coraki NSW",-29.101881,153.226375
NRIV-00005,"167 Wilson St, Coraki NSW",-29.101894,153.235462
NRIV-00006,"151 Mill Rd, Coraki NSW",-29.09982,153.244715
NRIV-00007,"207 Wyrallah Rd, Coraki NSW",-29.098762,153.253026
NRIV-00008,"40 Bridge St, Coraki NSW",-29.099207,153.263528
NRIV-00009,"24 Codrington Rd, Coraki NSW",-29.098171,153.27268
NRIV-00010,"155 Mill Rd, Woodburn NSW",-29.101613,153.28389
NRIV-00011,"138 Richmond Tce, Woodburn NSW",-29.098771,153.292586
NRIV-00012,"142 Mill Rd, Woodburn NSW",-29.098108,153.300347
NRIV-00013,"93 Bagotville Rd, Woodburn NSW",-29.098682,153.310474
NRIV-00014,"170 Bridge St, Woodburn NSW",-29.101231,153.317445
NRIV-00015,"219 Bridge St, Woodburn NSW",-29.098908,153.330274
NRIV-00016,"117 Tuckombil Rd, Woodburn NSW",-29.098534,153.337021
NRIV-00017,"91 Bridge St, Woodburn NSW",-29.098664,153.345317
NRIV-00018,"175 Tuckombil Rd, Woodburn NSW",-29.099319,153.356641
NRIV-00019,"137 Wilson St, Woodburn NSW",-29.101714,153.36554
NRIV-00020,"70 Tuckombil Rd, Woodburn NSW",-29.101021,153.374016
NRIV-00021,"84 River Rd, Woodburn NSW",-29.099247,153.382212
NRIV-00022,"81 Codrington Rd, Woodburn NSW",-29.101084,153.390628
NRIV-00023,"146 Wilson St, Woodburn NSW",-29.100929,153.400511
NRIV-00024,"102 Tuckombil Rd, Woodburn NSW",-29.100741,153.411455
NRIV-00025,"64 Wilson St, Woodburn NSW",-29.100165,153.41906
NRIV-00026,"150 Codrington Rd, Coraki NSW",-29.089432,153.199051
NRIV-00027,"57 Wyrallah Rd, Coraki NSW",-29.088086,153.208764
NRIV-00028,"13 Richmond Tce, Coraki NSW",-29.089639,153.216697
NRIV-00029,"175 Codrington Rd, Coraki NSW",-29.091066,153.22614
NRIV-00030,"153 Molesworth St, Coraki NSW",-29.089292,153.236206
NRIV-00031,"3 Tuckombil Rd, Coraki NSW",-29.089561,153.247718
NRIV-00032,"138 Mill Rd, Coraki NSW",-29.088795,153.255727
NRIV-00033,"76 Codrington Rd, Coraki NSW",-29.088603,153.263527
NRIV-00034,"185 Wilson St, Coraki NSW",-29.091045,153.271346
NRIV-00035,"46 Casino Rd, Woodburn NSW",-29.090624,153.282502
NRIV-00036,"77 Tuckombil Rd, Woodburn NSW",-29.088027,153.293149
NRIV-00037,"96 Wyrallah Rd, Woodburn NSW",-29.089647,153.299629
NRIV-00038,"136 River Rd, Woodburn NSW",-29.08952,153.311115
NRIV-00039,"29 Pacific Hwy, Woodburn NSW",-29.089282,153.319121
NRIV-00040,"79 Bridge St, Woodburn NSW",-29.088163,153.32966
NRIV-00041,"21 Richmond Tce, Woodburn NSW",-29.091446,153.339012
NRIV-00042,"195 Casino Rd, Woodburn NSW",-29.08875,153.347931
NRIV-00043,"122 Casino Rd, Woodburn NSW",-29.088614,153.354347
NRIV-00044,"156 Codrington Rd, Woodburn NSW",-29.091017,153.365111
NRIV-00045,"194 Wilson St, Woodburn NSW",-29.08782,153.375882
NRIV-00046,"103 Tuckombil Rd, Woodburn NSW",-29.088918,153.384185
NRIV-00047,"133 Molesworth St, Woodburn NSW",-29.089078,153.392252
NRIV-00048,"87 River Rd, Woodburn NSW",-29.091193,153.400565
