property_id,address,latitude,longitude,pct_flooded,max_depth_ft,urban_flag,optical_available,optical_water_pct,wse_spread_ft,rel_elev_ft,dem_resolution_m,depth_lower_ft,depth_upper_ft,depth_ci_ft
NRIV-00001,"71 Bridge St, Coraki NSW",-29.099442,153.1981,0.0,0.0,0,0,0.0,0.0,26.174,30,0.0,0.0,0.0
NRIV-00002,"174 Wilson St, Coraki NSW",-29.101107,153.210113,0.0,0.0,0,0,0.0,0.0,24.216,30,0.0,0.0,0.0
NRIV-00003,"109 River Rd, Coraki NSW",-29.098431,153.216681,0.0,0.0,0,0,0.0,0.0,34.883,30,0.0,0.0,0.0
NRIV-00004,"130 Bagotville Rd, Coraki NSW",-29.101881,153.226375,0.0,0.0,0,0,0.0,0.0,24.149,30,0.0,0.0,0.0
NRIV-00005,"167 Wilson St, Coraki NSW",-29.101894,153.235462,0.0,0.0,0,0,0.0,0.0,59.695,30,0.0,0.0,0.0
NRIV-00006,"151 Mill Rd, Coraki NSW",-29.09982,153.244715,0.0,0.0,0,0,0.0,0.0,127.403,30,0.0,0.0,0.0
NRIV-00007,"207 Wyrallah Rd, Coraki NSW",-29.098762,153.253026,0.0,0.0,0,0,0.0,0.0,106.225,30,0.0,0.0,0.0
NRIV-00008,"40 Bridge St, Coraki NSW",-29.099207,153.263528,0.0,0.0,0,0,0.0,0.0,61.852,30,0.0,0.0,0.0
NRIV-00009,"24 Codrington Rd, Coraki NSW",-29.098171,153.27268,0.0,0.0,0,0,0.0,0.0,29.634,30,0.0,0.0,0.0
NRIV-00010,"155 Mill Rd, Woodburn NSW",-29.101613,153.28389,0.3393,1.74,0,0,0.0,0.775,10.436,30,0.0,20.0,19.69
NRIV-00011,"138 Richmond Tce, Woodburn NSW",-29.098771,153.292586,0.0,0.0,0,0,0.0,0.0,26.705,30,0.0,0.0,0.0
NRIV-00012,"142 Mill Rd, Woodburn NSW",-29.098108,153.300347,1.0,6.36,0,0,0.0,2.398,2.169,30,0.0,20.0,19.72
NRIV-00013,"93 Bagotville Rd, Woodburn NSW",-29.098682,153.310474,1.0,3.18,0,0,0.0,1.095,1.117,30,0.0,20.0,19.69
NRIV-00014,"170 Bridge St, Woodburn NSW",-29.101231,153.317445,0.9968,6.25,0,1,1.0,2.972,4.542,30,0.0,20.0,19.74
NRIV-00015,"219 Bridge St, Woodburn NSW",-29.098908,153.330274,0.5258,2.54,0,0,0.0,0.487,6.926,30,0.0,20.0,19.69
NRIV-00016,"117 Tuckombil Rd, Woodburn NSW",-29.098534,153.337021,0.0,0.0,0,0,0.0,0.0,82.106,30,0.0,0.0,0.0
NRIV-00017,"91 Bridge St, Woodburn NSW",-29.098664,153.345317,0.0,0.0,0,0,0.0,0.0,94.29,30,0.0,0.0,0.0
NRIV-00018,"175 Tuckombil Rd, Woodburn NSW",-29.099319,153.356641,0.0,0.0,0,1,0.1011,0.0,33.96,30,0.0,0.0,0.0
NRIV-00019,"137 Wilson St, Woodburn NSW",-29.101714,153.36554,0.0,0.0,0,0,0.0,0.0,58.641,30,0.0,0.0,0.0
NRIV-00020,"70 Tuckombil Rd, Woodburn NSW",-29.101021,153.374016,0.0,0.0,0,0,0.0,0.0,33.348,30,0.0,0.0,0.0
NRIV-00021,"84 River Rd, Woodburn NSW",-29.099247,153.382212,0.0,0.0,0,1,0.0,0.0,110.879,30,0.0,0.0,0.0
NRIV-00022,"81 Codrington Rd, Woodburn NSW",-29.101084,153.390628,0.0,0.0,0,1,0.0,0.0,48.544,30,0.0,0.0,0.0
NRIV-00023,"146 Wilson St, Woodburn NSW",-29.100929,153.400511,0.0,0.0,0,1,0.0,0.0,47.528,30,0.0,0.0,0.0
NRIV-00024,"102 Tuckombil Rd, Woodburn NSW",-29.100741,153.411455,0.0,0.0,0,0,0.0,0.0,7.187,30,0.0,0.0,0.0
NRIV-00025,"64 Wilson St, Woodburn NSW",-29.100165,153.41906,0.1024,0.0,0,0,0.0,0.0,2.148,30,0.0,0.0,0.0
NRIV-00026,"150 Codrington Rd, Coraki NSW",-29.089432,153.199051,0.5199,1.67,0,0,0.0,0.795,2.87,30,0.0,20.0,19.69
NRIV-00027,"57 Wyrallah Rd, Coraki NSW",-29.088086,153.208764,0.0,0.0,0,0,0.0,0.0,15.836,30,0.0,0.0,0.0
NRIV-00028,"13 Richmond Tce, Coraki NSW",-29.089639,153.216697,0.0,0.0,0,0,0.0,0.0,57.085,30,0.0,0.0,0.0
NRIV-00029,"175 Codrington Rd, Coraki NSW",-29.091066,153.22614,0.0,0.0,0,0,0.0,0.0,42.562,30,0.0,0.0,0.0
NRIV-00030,"153 Molesworth St, Coraki NSW",-29.089292,153.236206,1.0,5.33,0,0,0.0,1.944,5.628,30,0.0,20.0,19.71
NRIV-00031,"3 Tuckombil Rd, Coraki NSW",-29.089561,153.247718,0.0,0.0,0,0,0.0,0.0,108.926,30,0.0,0.0,0.0
NRIV-00032,"138 Mill Rd, Coraki NSW",-29.088795,153.255727,0.0,0.0,0,0,0.0,0.0,136.904,30,0.0,0.0,0.0
NRIV-00033,"76 Codrington Rd, Coraki NSW",-29.088603,153.263527,0.0,0.0,0,0,0.0,0.0,33.398,30,0.0,0.0,0.0
NRIV-00034,"185 Wilson St, Coraki NSW",-29.091045,153.271346,0.0,0.0,0,0,0.0,0.0,9.895,30,0.0,0.0,0.0
NRIV-00035,"46 Casino Rd, Woodburn NSW",-29.090624,153.282502,1.0,4.05,0,0,0.0,1.257,1.457,30,0.0,20.0,19.7
NRIV-00036,"77 Tuckombil Rd, Woodburn NSW",-29.088027,153.293149,1.0,3.25,0,0,0.0,1.359,1.301,30,0.0,20.0,19.7
NRIV-00037,"96 Wyrallah Rd, Woodburn NSW",-29.089647,153.299629,0.9937,2.42,0,0,0.0,2.964,8.701,30,0.0,20.0,19.74
NRIV-00038,"136 River Rd, Woodburn NSW",-29.08952,153.311115,1.0,5.7,0,0,0.0,1.898,2.009,30,0.0,20.0,19.71
NRIV-00039,"29 Pacific Hwy, Woodburn NSW",-29.089282,153.319121,1.0,9.33,0,0,0.0,3.307,2.973,30,0.0,20.0,19.75
NRIV-00040,"79 Bridge St, Woodburn NSW",-29.088163,153.32966,1.0,5.01,0,0,0.0,1.608,4.101,30,0.0,20.0,19.7
NRIV-00041,"21 Richmond Tce, Woodburn NSW",-29.091446,153.339012,0.3024,3.92,0,0,0.0,0.385,6.815,30,0.0,20.0,19.69
NRIV-00042,"195 Casino Rd, Woodburn NSW",-29.08875,153.347931,0.0,0.0,0,0,0.0,0.0,51.316,30,0.0,0.0,0.0
NRIV-00043,"122 Casino Rd, Woodburn NSW",-29.088614,153.354347,0.0438,1.67,0,0,0.0,0.383,15.92,30,0.0,20.0,19.69
NRIV-00044,"156 Codrington Rd, Woodburn NSW",-29.091017,153.365111,1.0,3.58,0,1,1.0,1.373,1.949,30,0.0,20.0,19.7
NRIV-00045,"194 Wilson St, Woodburn NSW",-29.08782,153.375882,0.0,0.0,0,0,0.0,0.0,33.728,30,0.0,0.0,0.0
NRIV-00046,"103 Tuckombil Rd, Woodburn NSW",-29.088918,153.384185,0.0,0.0,0,0,0.0,0.0,22.821,30,0.0,0.0,0.0
NRIV-00047,"133 Molesworth St, Woodburn NSW",-29.089078,153.392252,0.0,0.0,0,1,0.2735,0.0,20.757,30,0.0,0.0,0.0
NRIV-00048,"87 River Rd, Woodburn NSW",-29.091193,153.400565,0.0,0.0,0,1,0.0,0.0,6.853,30,0.0,0.0,0.0
NRIV-00049,"57 River Rd, Woodburn NSW",-29.089324,153.409754,0.0,0.0,0,0,0.0,0.0,2.405,30,0.0,0.0,0.0
NRIV-00050,"59 Richmond Tce, Woodburn NSW",-29.091393,153.420524,0.0,0.0,0,0,0.0,0.0,6.039,30,0.0,0.0,0.0
NRIV-00051,"19 Casino Rd, Coraki NSW",-29.077733,153.201439,1.0,13.8,0,0,0.0,4.205,5.167,30,0.0,20.0,19.8
NRIV-00052,"55 Casino Rd, Coraki NSW",-29.080403,153.209843,0.0,0.0,0,0,0.0,0.0,25.674,30,0.0,0.0,0.0
NRIV-00053,"147 Bagotville Rd, Coraki NSW",-29.080826,153.220075,0.0,0.0,0,0,0.0,0.0,12.66,30,0.0,0.0,0.0
NRIV-00054,"207 Codrington Rd, Coraki NSW",-29.079464,153.228638,0.0,0.0,0,0,0.0,0.0,25.188,30,0.0,0.0,0.0
NRIV-00055,"111 Pacific Hwy, Coraki NSW",-29.080593,153.235054,0.0,0.0,0,0,0.0,0.0,28.273,30,0.0,0.0,0.0
NRIV-00056,"187 River Rd, Coraki NSW",-29.079661,153.245701,1.0,2.12,0,0,0.0,1.244,3.042,30,0.0,20.0,19.69
NRIV-00057,"26 River Rd, Coraki NSW",-29.078661,153.256937,0.0063,0.0,0,0,0.0,0.0,25.309,30,0.0,0.0,0.0
NRIV-00058,"28 Bridge St, Coraki NSW",-29.079744,153.263524,0.0,0.0,0,0,0.0,0.0,47.145,30,0.0,0.0,0.0
NRIV-00059,"36 Codrington Rd, Coraki NSW",-29.080588,153.273478,0.0,0.0,0,0,0.0,0.0,46.075,30,0.0,0.0,0.0
NRIV-00060,"20 Molesworth St, Coraki NSW",-29.080621,153.282351,1.0,2.62,0,0,0.0,1.385,3.906,30,0.0,20.0,19.7
NRIV-00061,"26 River Rd, Woodburn NSW",-29.078123,153.293091,1.0,2.99,0,0,0.0,1.062,1.281,30,0.0,20.0,19.69
NRIV-00062,"4 Richmond Tce, Woodburn NSW",-29.078746,153.300996,0.8635,4.38,0,0,0.0,2.482,6.547,30,0.0,20.0,19.72
NRIV-00063,"43 Codrington Rd, Woodburn NSW",-29.077649,153.311395,0.0968,4.76,0,0,0.0,0.25,11.678,30,0.0,20.0,19.69
NRIV-00064,"103 River Rd, Woodburn NSW",-29.079412,153.318022,1.0,2.78,0,0,0.0,3.636,11.088,30,0.0,20.0,19.77
NRIV-00065,"100 Mill Rd, Woodburn NSW",-29.080696,153.326342,0.8567,3.67,0,0,0.0,2.06,8.261,30,0.0,20.0,19.71
NRIV-00066,"74 Codrington Rd, Woodburn NSW",-29.077649,153.338641,0.3243,4.05,0,0,0.0,1.058,8.255,30,0.0,20.0,19.69
NRIV-00067,"201 Casino Rd, Woodburn NSW",-29.078568,153.347589,1.0,4.03,0,0,0.0,1.483,2.133,30,0.0,20.0,19.7
NRIV-00068,"49 Mill Rd, Woodburn NSW",-29.078707,153.35578,0.7957,4.45,0,0,0.0,1.664,2.752,30,0.0,20.0,19.7
NRIV-00069,"189 Casino Rd, Woodburn NSW",-29.080484,153.363234,0.5967,2.87,0,1,0.9941,1.544,7.298,30,0.0,20.0,19.7
NRIV-00070,"13 Bagotville Rd, Woodburn NSW",-29.081111,153.373421,0.0,0.0,0,0,0.0,0.0,29.211,30,0.0,0.0,0.0
NRIV-00071,"136 Wyrallah Rd, Woodburn NSW",-29.079448,153.385011,0.0,0.0,0,0,0.0,0.0,37.933,30,0.0,0.0,0.0
NRIV-00072,"218 Wyrallah Rd, Woodburn NSW",-29.081127,153.392531,0.0,0.0,0,0,0.0,0.0,6.912,30,0.0,0.0,0.0
NRIV-00073,"61 Codrington Rd, Woodburn NSW",-29.081081,153.399939,0.0,0.0,0,0,0.0,0.0,5.252,30,0.0,0.0,0.0
NRIV-00074,"64 Bagotville Rd, Woodburn NSW",-29.080875,153.412394,0.0,0.0,0,0,0.0,0.0,3.084,30,0.0,0.0,0.0
NRIV-00075,"108 Tuckombil Rd, Woodburn NSW",-29.078977,153.420478,0.0,0.0,0,0,0.0,0.0,12.483,30,0.0,0.0,0.0
NRIV-00076,"67 Bridge St, Coraki NSW",-29.068698,153.200091,0.0,0.0,0,0,0.0,0.0,90.832,30,0.0,0.0,0.0
NRIV-00077,"68 Codrington Rd, Coraki NSW",-29.068353,153.208423,0.0,0.0,0,0,0.0,0.0,140.584,30,0.0,0.0,0.0
NRIV-00078,"118 Pacific Hwy, Coraki NSW",-29.070509,153.218915,0.0,0.0,0,0,0.0,0.0,92.912,30,0.0,0.0,0.0
NRIV-00079,"3 Molesworth St, Coraki NSW",-29.067316,153.229243,0.0,0.0,0,0,0.0,0.0,38.624,30,0.0,0.0,0.0
NRIV-00080,"26 Richmond Tce, Coraki NSW",-29.068548,153.236919,0.0469,7.33,0,0,0.0,0.181,12.432,30,0.0,20.0,19.69
NRIV-00081,"34 Pacific Hwy, Coraki NSW",-29.068882,153.245857,0.0712,2.62,0,0,0.0,0.715,10.707,30,0.0,20.0,19.69
NRIV-00082,"95 Mill Rd, Coraki NSW",-29.067509,153.256517,0.6511,4.11,0,0,0.0,1.443,10.274,30,0.0,20.0,19.7
NRIV-00083,"181 Mill Rd, Coraki NSW",-29.070401,153.265502,0.0,0.0,0,0,0.0,0.0,160.137,30,0.0,0.0,0.0
NRIV-00084,"168 Casino Rd, Coraki NSW",-29.068586,153.275282,1.0,2.46,0,0,0.0,1.707,5.159,30,0.0,20.0,19.7
NRIV-00085,"77 Tuckombil Rd, Coraki NSW",-29.071001,153.283768,1.0,4.0,0,0,0.0,1.249,1.855,30,0.0,20.0,19.69
NRIV-00086,"68 Richmond Tce, Woodburn NSW",-29.070618,153.293179,1.0,4.73,0,0,0.0,1.951,4.896,30,0.0,20.0,19.71
NRIV-00087,"40 Mill Rd, Woodburn NSW",-29.067473,153.301803,0.9058,2.14,0,0,0.0,2.742,11.721,30,0.0,20.0,19.73
NRIV-00088,"88 Bridge St, Woodburn NSW",-29.069905,153.308843,1.0,2.79,0,0,0.0,1.869,5.684,30,0.0,20.0,19.71
NRIV-00089,"130 Molesworth St, Woodburn NSW",-29.068282,153.320578,1.0,2.85,0,0,0.0,1.101,1.503,30,0.0,20.0,19.69
NRIV-00090,"14 Richmond Tce, Woodburn NSW",-29.070028,153.329966,0.8627,5.24,0,0,0.0,2.884,6.997,30,0.0,20.0,19.74
NRIV-00091,"12 River Rd, Woodburn NSW",-29.068495,153.338817,0.101,0.76,0,0,0.0,0.018,13.532,30,0.0,20.0,19.69
NRIV-00092,"68 Wyrallah Rd, Woodburn NSW",-29.069698,153.34519,0.0,0.0,0,0,0.0,0.0,0.0,30,0.0,0.0,0.0
