zip,depth_ft,depth_unit_assumed,paid_building,paid_contents,damage_building,property_value,occupancy_type,n_floors,elevated,basement_type,lowest_floor_elev,lowest_adjacent_grade,duration_raw,flood_zone,cause_of_damage
77079,5.0,feet,250000.0,72882.78,225961.0,389161.0,1,2.0,False,,,,0.0,X,4
77079,1.0,feet,120249.86,65931.38,113545.0,182750.0,1,2.0,False,,,,0.0,X,2
77055,,inches,0.0,1223.12,,,1,1.0,False,,,,0.0,X,4
77063,0.0,feet,18778.23,0.0,19531.0,152322.0,1,1.0,False,,,,0.0,X,2
77055,8.0,feet,10887.12,0.0,13264.0,255894.0,1,1.0,False,,,,0.0,X,2
77070,3.5,inches,167279.99,20764.7,145386.0,320533.0,11,2.0,False,0.0,,,0.0,X,4
77024,0.0,feet,33078.69,0.0,34329.0,290065.0,11,2.0,False,0.0,,,0.0,X,0
77096,0.0,feet,100646.44,19226.81,97626.0,173877.0,11,1.0,False,0.0,55.0,53.7,0.0,AE,4
77377,1.0,feet,200000.0,80000.0,195350.0,204282.0,11,1.0,False,0.0,,,0.0,X,4
77096,1.0,feet,111516.26,35000.0,94871.0,205528.0,11,1.0,False,0.0,55.2,54.4,0.0,AE,4
77088,1.0,feet,31459.37,14446.35,31466.0,99786.0,11,1.0,False,0.0,81.3,79.8,0.0,AE,4
77041,,inches,,,,,11,1.0,False,,,,0.0,X,4
77096,1.0,feet,250000.0,100000.0,243068.0,927885.0,1,2.0,False,,,55.7,0.0,AE,2
77035,1.0,feet,53788.71,0.0,55788.0,119294.0,11,1.0,False,0.0,,,0.0,AE,4
77079,0.0,feet,98808.82,42074.78,86187.0,248414.0,11,2.0,False,0.0,,,0.0,X,2
77042,0.0,feet,20637.08,11144.38,21241.0,97248.0,1,2.0,False,,,,0.0,X,4
77072,0.0,feet,0.0,0.0,,,11,2.0,False,0.0,,,0.0,AE,4
77040,1.0,feet,59567.28,42118.41,60816.0,113648.0,11,1.0,False,0.0,,,0.0,X,4
77069,-2.0,feet,96115.0,0.0,98660.0,14570690.0,15,2.0,True,0.0,112.2,112.2,0.0,AE,4
77079,0.0,feet,,,,,12,2.0,False,0.0,,,0.0,X,0
77079,4.0,feet,250000.0,0.0,251860.0,625860.0,11,2.0,False,,71.8,69.7,0.0,AE,4
77081,0.0,feet,39720.08,0.0,40970.0,246503.0,11,1.0,False,0.0,,,0.0,X,0
77065,1.0,feet,118677.81,8527.09,119928.0,254433.0,1,2.0,False,,,,0.0,X,0
77084,3.0,feet,219700.0,9307.55,225714.0,340987.0,11,2.0,False,0.0,106.9,106.1,0.0,AE,4
