property_id,address,hwm_id,site_id,latitude,longitude,surveyed_ft,hwm_quality,hwm_type,hwm_environment,waterbody,flag_date,survey_date,f_20170829_asce,f_20170830_desc,f_20170905_desc,f_20170910_asce,f_20170911_desc,flood_median,flood_per_pass
21588,HWM 21588,21588,21135,29.6253,-95.7154,0.81,Excellent: +/- 0.05 ft,Debris,Riverine,unknown,2017-09-05T05:00:00,2017-10-07T05:00:00,0,0,0,0,0,0,0
21580,HWM 21580,21580,21139,29.6173,-95.7326,0.81,Excellent: +/- 0.05 ft,Debris,Riverine,Brazos River,2017-09-05T05:00:00,2017-10-07T05:00:00,0,0,0,0,0,0,0
21581,HWM 21581,21581,21139,29.6173,-95.7326,0.67,Excellent: +/- 0.05 ft,Debris,Riverine,unknown,2017-09-05T05:00:00,2017-10-07T05:00:00,0,0,0,0,0,0,0
21908,HWM 21908,21908,21365,29.55893,-95.63732,1.39,Good: +/- 0.10 ft,Seed line,Riverine,unknown,2017-09-06T05:00:00,2017-10-07T05:00:00,0,0,0,0,0,0,0
21855,HWM 21855,21855,21336,29.71693,-95.74408,2.73,Fair: +/- 0.20 ft,Stain line,Riverine,Buffalo Bayou,2017-09-09T05:00:00,2017-09-09T05:00:00,0,0,0,0,0,0,0
21856,HWM 21856,21856,21336,29.71575,-95.74281,1.33,Fair: +/- 0.20 ft,Seed line,Riverine,Buffalo Bayou,2017-09-09T05:00:00,2017-09-09T05:00:00,0,0,0,0,0,0,0
21871,HWM 21871,21871,21346,29.469,-95.7726,4.03,Excellent: +/- 0.05 ft,Debris,Riverine,unknown,2017-09-05T05:00:00,2017-10-11T05:00:00,0,0,0,0,0,0,0
21875,HWM 21875,21875,21351,29.5785,-95.794,5.0,Excellent: +/- 0.05 ft,Mud,Riverine,unknown,2017-09-05T05:00:00,2017-10-07T05:00:00,0,0,0,0,0,0,0
21876,HWM 21876,21876,21351,29.5785,-95.794,4.24,Excellent: +/- 0.05 ft,Debris,Riverine,unknown,2017-09-05T05:00:00,2017-10-07T05:00:00,0,0,0,0,0,0,0
21877,HWM 21877,21877,21351,29.5785,-95.794,3.02,Excellent: +/- 0.05 ft,Seed line,Riverine,unknown,2017-09-05T05:00:00,2017-10-07T05:00:00,0,0,0,0,0,0,0
21878,HWM 21878,21878,21352,29.5653,-95.8038,8.6,Excellent: +/- 0.05 ft,Seed line,Riverine,unknown,2017-09-05T05:00:00,2017-10-07T05:00:00,0,0,0,0,0,0,0
21879,HWM 21879,21879,21352,29.5653,-95.8038,5.63,Excellent: +/- 0.05 ft,Mud,Riverine,unknown,2017-09-05T05:00:00,2017-10-07T05:00:00,0,0,0,0,0,0,0
21880,HWM 21880,21880,21352,29.5653,-95.8038,4.76,Excellent: +/- 0.05 ft,Seed line,Riverine,unknown,2017-09-05T05:00:00,2017-10-07T05:00:00,0,0,0,0,0,0,0
21397,HWM 21397,21397,20988,29.61974,-95.68357,1.3,Good: +/- 0.10 ft,Seed line,Riverine,Oyster Creek,2017-09-07T04:00:00,2017-09-20T04:00:00,0,0,0,0,0,0,0
21893,HWM 21893,21893,21358,29.56997,-95.8163,1.12,Excellent: +/- 0.05 ft,Debris,Riverine,unknown,2017-09-05T05:00:00,2017-10-07T05:00:00,0,0,0,0,0,0,0
21894,HWM 21894,21894,21358,29.56997,-95.8163,1.42,Excellent: +/- 0.05 ft,Debris,Riverine,unknown,2017-09-05T05:00:00,2017-10-07T05:00:00,0,0,0,0,0,0,0
21895,HWM 21895,21895,21358,29.56997,-95.8163,2.98,Excellent: +/- 0.05 ft,Mud,Riverine,unknown,2017-09-05T05:00:00,2017-10-07T05:00:00,0,0,0,0,0,0,0
21913,HWM 21913,21913,21366,29.52887,-95.62402,1.76,Excellent: +/- 0.05 ft,Debris,Riverine,unknown,2017-09-06T05:00:00,2017-10-11T05:00:00,0,0,0,0,0,0,0
22787,HWM 22787,22787,21881,29.702005,-95.693301,1.52,Good: +/- 0.10 ft,Other,Riverine,unknown,2017-09-07T05:00:00,2017-09-07T05:00:00,0,0,0,0,0,0,0
21900,HWM 21900,21900,21362,29.4532,-95.7274,1.12,Excellent: +/- 0.05 ft,Debris,Riverine,unknown,2017-09-05T05:00:00,2017-10-11T05:00:00,0,0,0,0,0,0,0
22789,HWM 22789,22789,21881,29.701947,-95.693259,1.76,Good: +/- 0.10 ft,Debris,Riverine,unknown,2017-09-07T05:00:00,2017-09-07T05:00:00,0,0,0,0,0,0,0
21140,HWM 21140,21140,20837,29.69268,-95.88994,1.54,Fair: +/- 0.20 ft,Stain line,Riverine,Unnamed retention pond,2017-09-06T04:00:00,2017-09-20T04:00:00,0,0,0,0,0,0,0
22802,HWM 22802,22802,21889,29.703453,-95.694509,1.66,Good: +/- 0.10 ft,Other,Riverine,unknown,2017-09-07T05:00:00,2017-09-07T05:00:00,0,0,0,0,0,0,0
22803,HWM 22803,22803,21889,29.703405,-95.694521,1.62,Good: +/- 0.10 ft,Other,Riverine,unknown,2017-09-07T05:00:00,2017-09-07T05:00:00,0,0,0,0,0,0,0
21418,HWM 21418,21418,21017,29.6264,-95.68095,0.77,Good: +/- 0.10 ft,Seed line,Riverine,Pumpkin Lake,2017-09-07T04:00:00,2017-09-20T04:00:00,0,0,0,0,0,0,0
21977,HWM 21977,21977,21396,29.58611,-95.68077,1.62,Excellent: +/- 0.05 ft,Seed line,Riverine,unknown,2017-09-06T05:00:00,2017-10-11T05:00:00,0,0,0,0,0,0,0
21994,HWM 21994,21994,21404,29.4865,-95.6095,7.2,Excellent: +/- 0.05 ft,Seed line,Riverine,unknown,2017-09-06T05:00:00,2017-10-11T05:00:00,0,0,0,0,0,0,0
29194,HWM 29194,29194,25083,29.710604,-95.729922,3.5,Fair: +/- 0.20 ft,Seed line,Riverine,Buffalo Bayou,2017-08-30T05:00:00,2018-05-15T05:00:00,0,0,0,0,0,0,0
