property_id,address,hwm_id,site_id,latitude,longitude,surveyed_ft,hwm_quality,hwm_type,hwm_environment,waterbody,flag_date,survey_date,f_20170829_asce,f_20170830_desc,f_20170905_desc,flood_median,flood_per_pass
22029,HWM 22029,22029,21420,29.85088,-95.77355,2.65,Poor: +/- 0.40 ft,Seed line,Riverine,South Mayde Cr,2017-09-10T05:00:00,2017-09-10T05:00:00,0,0,0,0,0
22030,HWM 22030,22030,21420,29.8518,-95.77282,2.64,Poor: +/- 0.40 ft,Mud,Riverine,South Mayde Cr,2017-09-10T05:00:00,2017-09-10T05:00:00,0,0,0,0,0
22031,HWM 22031,22031,21422,29.87522,-95.76947,0.58,Good: +/- 0.10 ft,Seed line,Riverine,Bear Cr,2017-09-10T05:00:00,2017-09-10T05:00:00,0,0,0,0,0
22032,HWM 22032,22032,21422,29.87501,-95.77007,0.91,Fair: +/- 0.20 ft,Seed line,Riverine,Bear Cr,2017-09-10T05:00:00,2017-09-10T05:00:00,1,0,0,1,1
22033,HWM 22033,22033,21423,29.86147,-95.73068,1.29,Good: +/- 0.10 ft,Debris,Riverine,Bear Cr,2017-09-10T05:00:00,2017-09-10T05:00:00,0,0,0,0,0
22034,HWM 22034,22034,21423,29.86147,-95.72979,1.47,Fair: +/- 0.20 ft,Seed line,Riverine,Bear Cr,2017-09-10T05:00:00,2017-09-10T05:00:00,0,0,0,0,0
22037,HWM 22037,22037,21426,29.91324,-95.68169,5.85,Poor: +/- 0.40 ft,Debris,Riverine,Horsepen Cr,2017-09-10T05:00:00,2017-09-10T05:00:00,0,0,0,0,0
21648,HWM 21648,21648,21179,29.78443,-95.84458,4.12,Good: +/- 0.10 ft,Vegetation line,Riverine,Snake Cr,2017-09-08T05:00:00,2017-09-08T05:00:00,0,0,0,0,0
22040,HWM 22040,22040,21427,29.94112,-95.72098,2.23,Fair: +/- 0.20 ft,Seed line,Riverine,Cypress Creek,2017-09-10T05:00:00,2017-09-10T05:00:00,0,0,0,0,0
21662,HWM 21662,21662,21193,29.76528,-95.82202,1.55,Good: +/- 0.10 ft,Seed line,Riverine,Buffalo Bayou,2017-09-08T05:00:00,2017-09-08T05:00:00,0,0,0,0,0
21664,HWM 21664,21664,21193,29.76425,-95.82276,3.4,Fair: +/- 0.20 ft,Debris,Riverine,Buffalo Bayou,2017-09-08T05:00:00,2017-09-08T05:00:00,0,0,0,0,0
21667,HWM 21667,21667,21195,29.74534,-95.78379,1.23,Excellent: +/- 0.05 ft,Seed line,Riverine,Buffalo Bayou,2017-09-08T05:00:00,2017-09-08T05:00:00,0,0,0,0,0
21668,HWM 21668,21668,21195,29.74527,-95.78409,1.44,Excellent: +/- 0.05 ft,Seed line,Riverine,Buffalo Bayou,2017-09-08T05:00:00,2017-09-08T05:00:00,0,0,0,0,0
25169,HWM 25169,25169,23176,29.781228,-95.613876,3.4,Excellent: +/- 0.05 ft,Seed line,Riverine,Buffalo Bayou Trib,2017-09-25T05:00:00,2017-09-26T05:00:00,0,0,0,0,0
25171,HWM 25171,25171,23177,29.92373,-95.58727,4.9,Good: +/- 0.10 ft,Seed line,Riverine,White Oak Bayou,2017-09-25T05:00:00,2017-09-26T05:00:00,0,0,0,0,0
25179,HWM 25179,25179,23181,29.88709,-95.5325,4.0,Excellent: +/- 0.05 ft,Seed line,Riverine,Rolling Fork,2017-09-26T05:00:00,2017-09-26T05:00:00,0,0,0,0,0
25175,HWM 25175,25175,23179,29.88837,-95.57372,1.2,Excellent: +/- 0.05 ft,Seed line,Riverine,White Oak Bayou Trib,2017-09-25T05:00:00,2017-09-26T05:00:00,0,0,0,0,0
25184,HWM 25184,25184,23184,29.75367,-95.54056,2.0,Excellent: +/- 0.05 ft,Seed line,Riverine,Buffalo Bayou,2017-09-26T05:00:00,2017-09-26T05:00:00,0,0,0,0,0
25187,HWM 25187,25187,23186,29.86273,-95.46898,1.9,Excellent: +/- 0.05 ft,Seed line,Riverine,White Oak Bayou,2017-09-27T05:00:00,2017-09-27T05:00:00,0,0,0,0,0
25189,HWM 25189,25189,23188,29.826044,-95.481466,1.1,Good: +/- 0.10 ft,Seed line,Riverine,Brickhouse Gully,2017-09-27T05:00:00,2017-09-27T05:00:00,0,0,0,0,0
25201,HWM 25201,25201,23196,29.77798,-95.48255,1.9,Excellent: +/- 0.05 ft,Seed line,Riverine,Spring Branch Bayou,2017-09-28T05:00:00,2017-09-28T05:00:00,0,0,0,0,0
22611,HWM 22611,22611,21791,29.721307,-95.565625,5.21,Good: +/- 0.10 ft,Seed line,Riverine,unknown,2017-09-07T05:00:00,2017-09-07T05:00:00,0,0,0,0,0
22621,HWM 22621,22621,21791,29.7212186,-95.565607,8.5,Good: +/- 0.10 ft,Seed line,Riverine,unknown,2017-09-07T05:00:00,2017-09-07T05:00:00,0,0,0,0,0
22676,HWM 22676,22676,21825,29.99411,-95.54108,5.34,Fair: +/- 0.20 ft,Debris,Riverine,Cypress Cr,2017-09-13T05:00:00,2017-09-13T05:00:00,0,0,0,0,0
25182,HWM 25182,25182,23183,29.76639,-95.57567,0.6,Fair: +/- 0.20 ft,Seed line,Riverine,White Oak Bayou,2017-09-26T05:00:00,2017-09-26T05:00:00,0,0,0,0,0
22249,HWM 22249,22249,21557,29.8575,-95.62362,2.69,Good: +/- 0.10 ft,Seed line,Riverine,Langham Cr.,2017-09-11T05:00:00,2017-09-11T05:00:00,0,0,0,0,0
22251,HWM 22251,22251,21558,29.84466,-95.637,2.18,Good: +/- 0.10 ft,Seed line,Riverine,Bear Cr,2017-09-11T05:00:00,2017-09-11T05:00:00,0,0,0,0,0
22252,HWM 22252,22252,21559,29.83113,-95.64628,5.0,Good: +/- 0.10 ft,Seed line,Riverine,Bear Creek,2017-09-11T05:00:00,2017-09-11T05:00:00,0,0,0,0,0
22253,HWM 22253,22253,21560,29.83597,-95.63039,8.4,Good: +/- 0.10 ft,Seed line,Riverine,Langham Cr,2017-09-11T05:00:00,2017-09-11T05:00:00,0,0,0,0,0
21855,HWM 21855,21855,21336,29.71693,-95.74408,2.73,Fair: +/- 0.20 ft,Stain line,Riverine,Buffalo Bayou,2017-09-09T05:00:00,2017-09-09T05:00:00,0,0,0,0,0
21856,HWM 21856,21856,21336,29.71575,-95.74281,1.33,Fair: +/- 0.20 ft,Seed line,Riverine,Buffalo Bayou,2017-09-09T05:00:00,2017-09-09T05:00:00,0,0,0,0,0
21859,HWM 21859,21859,21341,29.77655,-95.68803,1.6,Fair: +/- 0.20 ft,Seed line,Riverine,Buffalo Bayou,2017-09-09T05:00:00,2017-09-09T05:00:00,0,0,0,0,0
21864,HWM 21864,21864,21341,29.77657,-95.68904,1.52,Good: +/- 0.10 ft,Seed line,Riverine,Buffalo Bayou,2017-09-09T05:00:00,2017-09-09T05:00:00,0,0,0,0,0
21865,HWM 21865,21865,21342,29.76068,-95.70302,2.72,Good: +/- 0.10 ft,Seed line,Riverine,Buffalo Bayou,2017-09-09T05:00:00,2017-09-09T05:00:00,0,0,0,0,0
21872,HWM 21872,21872,21348,29.79984,-95.69312,5.74,Good: +/- 0.10 ft,Seed line,Riverine,South Mayde Creek,2017-09-09T05:00:00,2017-09-09T05:00:00,0,0,0,0,0
21873,HWM 21873,21873,21349,29.80842,-95.67383,5.96,Good: +/- 0.10 ft,Seed line,Riverine,South Mayde Creek,2017-09-09T05:00:00,2017-09-09T05:00:00,0,0,0,0,0
22787,HWM 22787,22787,21881,29.702005,-95.693301,1.52,Good: +/- 0.10 ft,Other,Riverine,unknown,2017-09-07T05:00:00,2017-09-07T05:00:00,0,0,0,0,0
22789,HWM 22789,22789,21881,29.701947,-95.693259,1.76,Good: +/- 0.10 ft,Debris,Riverine,unknown,2017-09-07T05:00:00,2017-09-07T05:00:00,0,0,0,0,0
21661,HWM 21661,21661,21192,29.77505,-95.83514,5.12,Fair: +/- 0.20 ft,Vegetation line,Riverine,Willow Fork,2017-09-08T05:00:00,2017-09-08T05:00:00,0,0,0,0,0
22802,HWM 22802,22802,21889,29.703453,-95.694509,1.66,Good: +/- 0.10 ft,Other,Riverine,unknown,2017-09-07T05:00:00,2017-09-07T05:00:00,0,0,0,0,0
22803,HWM 22803,22803,21889,29.703405,-95.694521,1.62,Good: +/- 0.10 ft,Other,Riverine,unknown,2017-09-07T05:00:00,2017-09-07T05:00:00,0,0,0,0,0
22423,HWM 22423,22423,21686,29.94522,-95.65133,2.75,Poor: +/- 0.40 ft,Debris,Riverine,Cypress cr,2017-09-12T05:00:00,2017-09-12T05:00:00,0,0,0,0,0
22424,HWM 22424,22424,21687,29.9522,-95.64955,5.55,Poor: +/- 0.40 ft,Seed line,Riverine,Cypress Cr,2017-09-12T05:00:00,2017-09-12T05:00:00,0,0,0,0,0
22427,HWM 22427,22427,21691,29.99092,-95.65353,5.3,Poor: +/- 0.40 ft,Debris,Riverine,Little Cypress Cr,2017-09-12T05:00:00,2017-09-12T05:00:00,0,0,0,0,0
22019,HWM 22019,22019,21415,29.82303,-95.74633,1.95,Poor: +/- 0.40 ft,Debris,Riverine,South Mayde Cr,2017-09-10T05:00:00,2017-09-10T05:00:00,0,0,0,0,0
29143,HWM 29143,29143,25061,29.846791,-95.605332,1.8,Excellent: +/- 0.05 ft,Mud,Riverine,Lakes on Eldridge,2017-08-30T05:00:00,2018-05-15T05:00:00,0,0,0,0,0
29144,HWM 29144,29144,25062,29.847128,-95.59905,3.5,Fair: +/- 0.20 ft,Mud,Riverine,Lakes on Eldridge,2017-08-30T05:00:00,2018-05-15T05:00:00,0,0,0,0,0
