Policy No,Property Address,TIV,City,State,Zip
HOU-100244,5018 Glenmeadow Dr,415000,Houston,TX,77096
HOU-100245,4710 Braeburn Dr,388000,Houston,TX,77096
HOU-100246,5226 Jackwood St,402500,Houston,TX,77096
HOU-100247,4615 Cheena Dr,365000,Houston,TX,77096
HOU-100248,5111 Loch Lomond Dr,455000,Houston,TX,77096
HOU-100249,4906 Mimosa Dr,1250000,Bellaire,TX,77401
HOU-100250,5402 Beechnut St,295000,Houston,TX,77096
HOU-100251,4203 Linkwood Dr,512000,Houston,TX,77025
HOU-100252,3719 Norris Dr,478000,Houston,TX,77025
HOU-100253,5530 Heron Dr,340000,Houston,TX,77035
HOU-100254,5915 Edith St,318000,Houston,TX,77035
HOU-100255,4620 Willowbend Blvd,2400000,Houston,TX,77035
HOU-100256,4105 Underwood St,365500,Houston,TX,77025
HOU-100257,5022 Glenmeadow Dr,401000,Houston,TX,77096
HOU-100258,5310 Jackwood St,389000,Houston,TX,77096
