Policy Number,Street Address,Coverage Amount,City,State,ZIP
FL-770311,18520 Van Nuys Cir,372000,Port Charlotte,FL,33948
FL-770312,210 Wilhelm Dr,415500,Port Charlotte,FL,33952
FL-770313,2185 Como St,358000,Port Charlotte,FL,33948
FL-770314,3290 Loveland Blvd,402000,Port Charlotte,FL,33980
FL-770315,145 Tarpon Ave,1180000,Punta Gorda,FL,33950
FL-770316,2400 Aaron St,344000,Port Charlotte,FL,33952
FL-770317,1850 Forrest Nelson Blvd,389000,Port Charlotte,FL,33952
FL-770318,4100 Tamiami Trail,2750000,Port Charlotte,FL,33952
FL-770319,3155 Midship Dr,366000,Port Charlotte,FL,33981
FL-770320,255 W Marion Ave,925000,Punta Gorda,FL,33950
FL-770321,21330 Gladis Ave,331000,Port Charlotte,FL,33952
FL-770322,1100 Kings Hwy,478000,Port Charlotte,FL,33980
