Policy Number,Insured Name,Property Address,City,Province,Latitude,Longitude,Total Insured Value
PK-SIN-0001,Indus Agri Cooperative,"Plot 14, Dadu Bypass Rd",Dadu,Sindh,26.6,67.8,185000
PK-SIN-0002,Sindh Cotton Mills,"Sector 3, Johi Industrial Area",Johi,Sindh,26.6,67.9,920000
PK-SIN-0003,R. Memon Residence,"House 22, Mehar Link Rd",Mehar,Sindh,26.75,67.65,140000
PK-SIN-0004,Khairpur Grain Depot,"Warehouse 5, Canal Rd",Khairpur N.S.,Sindh,26.75,67.9,640000
PK-SIN-0005,A. Soomro Farmstead,"Deh 81, Revenue Estate",Dadu,Sindh,26.825,67.65,110000
PK-SIN-0006,Mehar Textile Traders,"Shop Block C, Station Rd",Mehar,Sindh,26.975,67.65,295000
PK-SIN-0007,Sindh Rural Bank Branch,"Main Bazaar, Sehwan Rd",Khairpur N.S.,Sindh,27.05,67.6,410000
PK-SIN-0008,B. Chandio Residence,"House 9, Indus Colony",Johi,Sindh,27.05,67.75,125000
PK-SIN-0009,United Poultry Farm,"Farm 3, Rice Canal Rd",Mehar,Sindh,27.05,67.8,230000
PK-SIN-0010,Hala Cold Storage,"Unit 2, Bypass Industrial",Khairpur N.S.,Sindh,27.125,67.65,775000
PK-SIN-0011,F. Lashari Residence,"House 41, Model Town",Mehar,Sindh,27.125,67.7,150000
PK-SIN-0012,Sindh Seed Corporation,"Depot 7, Agriculture Rd",Mehar,Sindh,27.125,67.75,520000
PK-SIN-0013,Dadu District Hospital Annex,"Block A, Hospital Rd",Dadu,Sindh,26.6,67.75,1250000
PK-SIN-0014,M. Khoso Residence,"House 5, Canal View",Johi,Sindh,26.75,67.75,135000
PK-SIN-0015,Kirthar Ridge Lodge,"Plot 1, Kirthar Foothills",Wahi Pandhi,Sindh,26.6,67.55,260000
PK-SIN-0016,Highland Telecom Tower,Site KTR-12,Wahi Pandhi,Sindh,27.2,67.6,330000
